PromEnh,PromOnly
MGAT5,SLC22A11
XYLT1,ADAMDEC1
ETV6,ZSCAN18
RUNX1,SLC9A3
ZNF608,TDRD5
CTGF,SYT9
RYBP,ZSCAN1
ZFHX3,UGT2B17
GSDMC,PLPPR5
BACH2,GALR1
COPEB,PIWIL1
MKLN1,ZNF208
MED13L,MEIOB
SOX4,MYH14
FOXN3,PCDHGB4
TMEM170B,KCNA4
LPP,KRTAP1-5
CD83,ECM1
HDAC4,TDRP
ATP2B1,C10orf107
LDLRAD4,ERVMER34-1
AGO2,LMO3
TIAM1,P2RX2
ERG,FSIP2
ID2,ANKS1B
MYB,SLC25A21
RAB1A,ELAVL2
CBLB,VSTM2B
UST,SLC27A6
PRKCE,PDE4D
CCDC182,DPEP3
MSI2,PITX2
IGLL5,LHFPL4
DUSP10,MACROD2
ZFP36L1,ENO4
STT3B,MIPOL1
LYZL2,SIGLEC14
PRPF18,SPATA18
RPIA,SHC2
PUDP,XDH
UTRN,C11orf70
RAB11A,NEFM
POU5F1B,COL4A4
CLVS1,PTGFR
IRF2BP2,FAM210A
LARGE,DPYS
CHMP6,ZNF532
ZMIZ1,TCEAL2
KMT2E,KCNC2
GNAQ,CACNA1B
RPAP3,L1TD1
PTTG2,GULP1
LY86,MTNR1A
SPRY2,B4GALNT2
BCL2L11,ERG
STK39,GSN
MYC,RGS7BP
ACSL1,SLCO2B1
MYO18A,TAS2R43
CLLU1,RAB30
EPHA4,PMEPA1
ATP6V1C1,FOXG1
HIVEP2,SYN3
TBL1XR1,GPR39
MTMR12,CAPN3
PTPRC,TCHH
AKAP13,AJAP1
PIGPC1,NXPH1
CRADD,CLEC11A
ARID1B,PDZRN4
TRIB1,CWH43
NBPF1,ROBO1
VPREB1,TCERG1L
GALNT2,SCARA5
PAX5,PCDH19
C10orf131,SEMA4A
GRAMD4,IRX4
ADARB1,SLC6A1
PLXNC1,SOX5
C5orf67,DDX43
RERE,ABCG2
TGFBR2,NECAB1
SORL1,CALML4
TM9SF2,SYN2
TOX,SH3BP5
SWAP70,C17orf99
TBC1D5,PGR
FUT8,FAM159B
EDEM1,TLL1
PGBD5,CER1
CEP78,C2CD4B
ANKRD33B,CCK
TBC1D9,AMER3
CLINT1,WWC1
ZIC2,ELOVL5
SYK,PHYHIPL
JARID2,GRM6
JAZF1,C11orf85
TMEM121,ZFR2
DTNBP1,PCDHAC1
PHLPP1,DNAH9
KDM4C,GBX2
RAB11FIP4,LCE2C
HMHB1,PLOD2
FAM65B,RTN1
VAV3,NPY5R
BTG1,ADAM12
ZCCHC7,HS6ST3
CA5A,ACAN
PRUNE2,ZNF300
FAM98A,MPPED2
IRS2,RIMS1
PDE4D,TMTC1
CD34,GYPE
B3GNT2,TNS1
WNT16,ZIC1
CDC42SE2,CFAP47
