name,source
FLT3,acute myeloblastic leukemia without maturation (MalaCards)
NPM1,acute myeloblastic leukemia without maturation (MalaCards)
FLT3,acute myeloblastic leukemia with maturation (MalaCards)
KIT,acute myeloblastic leukemia with maturation (MalaCards)
NPM1,acute myeloblastic leukemia with maturation (MalaCards)
CEBPA,leukemia (MalaCards)
ETV6,leukemia (MalaCards)
FLT3,leukemia (MalaCards)
JAK2,leukemia (MalaCards)
KIT,leukemia (MalaCards)
NPM1,leukemia (MalaCards)
CEBPA,acute promyelocytic leukemia (MalaCards)
FLT3,acute promyelocytic leukemia (MalaCards)
NPM1,acute promyelocytic leukemia (MalaCards)
NRAS,acute promyelocytic leukemia (MalaCards)
RUNX1,acute promyelocytic leukemia (MalaCards)
CEBPA,acute leukemia (MalaCards)
ETV6,acute leukemia (MalaCards)
FLT3,acute leukemia (MalaCards)
JAK2,acute leukemia (MalaCards)
KIT,acute leukemia (MalaCards)
MLLT10,acute leukemia (MalaCards)
CEBPA,cytogenetically normal acute myeloid leukemia (MalaCards)
FLT3,cytogenetically normal acute myeloid leukemia (MalaCards)
IDH1,cytogenetically normal acute myeloid leukemia (MalaCards)
NPM1,cytogenetically normal acute myeloid leukemia (MalaCards)
CEBPA,myeloid leukemia (MalaCards)
DNMT3A,myeloid leukemia (MalaCards)
ETV6,myeloid leukemia (MalaCards)
FLT3,myeloid leukemia (MalaCards)
GATA2,myeloid leukemia (MalaCards)
IDH1,myeloid leukemia (MalaCards)
CEBPA,myelodysplastic syndrome (MalaCards)
DNMT3A,myelodysplastic syndrome (MalaCards)
ETV6,myelodysplastic syndrome (MalaCards)
FLT3,myelodysplastic syndrome (MalaCards)
GATA2,myelodysplastic syndrome (MalaCards)
IDH1,myelodysplastic syndrome (MalaCards)
ETV6,acute lymphoblastic leukemia (MalaCards)
FLT3,acute lymphoblastic leukemia (MalaCards)
PICALM,acute lymphoblastic leukemia (MalaCards)
RUNX1,acute lymphoblastic leukemia (MalaCards)
ETV6,lymphoblastic leukemia (MalaCards)
FLT3,lymphoblastic leukemia (MalaCards)
JAK2,lymphoblastic leukemia (MalaCards)
RUNX1,lymphoblastic leukemia (MalaCards)
FLT3,myeloid sarcoma (MalaCards)
KIT,myeloid sarcoma (MalaCards)
NPM1,myeloid sarcoma (MalaCards)
ABL1,oncogenes
MECOM,oncogenes
MYC,oncogenes
ABL2,oncogenes
EWSR1,oncogenes
MYCL,oncogenes
AKT1,oncogenes
FEV,oncogenes
MYCN,oncogenes
AKT2,oncogenes
FGFR1,oncogenes
NCOA4,oncogenes
ATF1,oncogenes
FGFR1OP,oncogenes
NFKB2,oncogenes
BCL11A,oncogenes
FGFR2,oncogenes
NRAS,oncogenes
BCL2,oncogenes
FUS,oncogenes
NTRK1,oncogenes
BCL3,oncogenes
GOLGA5,oncogenes
NUP214,oncogenes
BCL6,oncogenes
GOPC,oncogenes
PAX8,oncogenes
BCR,oncogenes
HMGA1,oncogenes
PDGFB,oncogenes
BRAF,oncogenes
HMGA2,oncogenes
PIK3CA,oncogenes
CARD11,oncogenes
HRAS,oncogenes
PIM1,oncogenes
CBLB,oncogenes
IRF4,oncogenes
PLAG1,oncogenes
CBLC,oncogenes
JUN,oncogenes
PPARG,oncogenes
CCND1,oncogenes
KIT,oncogenes
PTPN11,oncogenes
CCND2,oncogenes
KRAS,oncogenes
RAF1,oncogenes
CCND3,oncogenes
LCK,oncogenes
REL,oncogenes
CDX2,oncogenes
LMO2,oncogenes
RET,oncogenes
CTNNB1,oncogenes
MAF,oncogenes
ROS1,oncogenes
DDB2,oncogenes
MAFB,oncogenes
SMO,oncogenes
DDIT3,oncogenes
MAML2,oncogenes
SS18,oncogenes
DDX6,oncogenes
MDM2,oncogenes
TCL1A,oncogenes
DEK,oncogenes
MET,oncogenes
TET2,oncogenes
EGFR,oncogenes
MITF,oncogenes
TFG,oncogenes
ELK4,oncogenes
KMT2A,oncogenes
TLX1,oncogenes
ERBB2,oncogenes
MPL,oncogenes
TPR,oncogenes
ETV4,oncogenes
MYB,oncogenes
USP6,oncogenes
ETV6,oncogenes
APC,suppressors
IL2,suppressors
TNFAIP3,suppressors
ARHGEF12,suppressors
JAK2,suppressors
TP53,suppressors
ATM,suppressors
MAP2K4,suppressors
TSC1,suppressors
BCL11B,suppressors
MDM4,suppressors
TSC2,suppressors
BLM,suppressors
MEN1,suppressors
VHL,suppressors
BMPR1A,suppressors
MLH1,suppressors
WRN,suppressors
BRCA1,suppressors
MSH2,suppressors
WT1,suppressors
BRCA2,suppressors
NF1,suppressors
CARS,suppressors
NF2,suppressors
CBFA2T3,suppressors
NOTCH1,suppressors
CDH1,suppressors
NPM1,suppressors
CDH11,suppressors
NR4A3,suppressors
CDK6,suppressors
NUP98,suppressors
CDKN2C,suppressors
PALB2,suppressors
CEBPA,suppressors
PML,suppressors
CHEK2,suppressors
PTEN,suppressors
CREB1,suppressors
RB1,suppressors
CREBBP,suppressors
RUNX1,suppressors
CYLD,suppressors
SDHB,suppressors
DDX5,suppressors
SDHD,suppressors
EXT1,suppressors
SMARCA4,suppressors
EXT2,suppressors
SMARCB1,suppressors
FBXW7,suppressors
SOCS1,suppressors
FH,suppressors
STK11,suppressors
FLT3,suppressors
SUFU,suppressors
FOXP1,suppressors
SUZ12,suppressors
GPC3,suppressors
SYK,suppressors
IDH1,suppressors
TCF3,suppressors
C1orf43,housekeeping genes
CHMP2A,housekeeping genes
EMC7,housekeeping genes
GPI,housekeeping genes
PSMB2,housekeeping genes
PSMB4,housekeeping genes
RAB7A,housekeeping genes
REEP5,housekeeping genes
SNRPD3,housekeeping genes
VCP,housekeeping genes
VPS29,housekeeping genes
