PromEnh,PromOnly
GSDMC,CKMT1A
TOX,CFC1
ZNF608,USP17L4
AHR,SPANXD
SPRY2,CHRFAM7A
BACH2,TRIM43
SOX4,ARHGEF35
ATP2B1,CT47A1
HDAC4,FCGR2B
UTRN,SULT1A3
STT3B,FRG2
ID2,SPACA5B
LPP,SLC25A6
NRIP1,AMY1B
XYLT1,GOLGA6L10
IRS2,KCNE1
CDKAL1,PRR23D2
PTPRC,MAGEA4
SAMSN1,POTEJ
CBLB,ZNF705G
TMEM170B,NBPF15
DUSP10,PLA2G10
SNTB1,SIK1
BTG1,ZNF705B
EDEM1,MAGEA6
SUPT3H,FAM72C
ST8SIA4,TPSAB1
PRR16,CRYAA
COPEB,DEFB4A
ARRDC3,MAGEA2
TGFBR2,NBPF12
ZNF429,NPIPA8
FOXN3,RIMBP3B
C6ORF37,WASH1
TBC1D5,CTAG1A
ANGPT1,HERC2
NDFIP2,PLGLB2
RXRA,CTAGE6
CD180,CT47A7
ZFP36L1,NBPF9
MREG,EIF3C
NOX3,DDTL
KLF4,FOXD4L5
AKR1E2,F8A2
PSA1,SRGAP2
THUMPD2,CLEC18C
DLEU7,SMN1
USP25,GAGE12C
RYBP,CD99
EMB,PDE4DIP
PLGLB2,NPIPB5
ERG,UBE2L3
KCNMB2,CBWD7
VAV3,F8
ECT2,NBPF10
UST,ABCC6
ST3GAL1,DGCR6
SLC39A10,FAM86B2
C5orf67,OPN1MW2
TBL1XR1,TRIM49D2
DISC1,IFNL2
SYK,UPK3BL
NEK7,TCP11X2
CD83,DAZ4
CEBPD,SPRR2B
BCL2L11,BOLA2B
DAB2IP,USP17L13
DTNBP1,VCX2
RUNX1,CSF2RA
ARHGAP15,HIST2H2AA4
FAM65B,BOLA2
NTPCR,ROPN1B
ANKRD55,NUTM2G
SSBP2,CRLF2
CLLU1,NPY4R
DPYD,FBXW10
MEF2C,GTF2H2
MED13L,GAGE12H
RBMS1,PCDH11Y
TRPS1,AGAP6
MGAT5,TBC1D3L
IGLL5,TCP10
LYZL2,XAGE1B
HMCN1,HSFY2
HS3ST3B1,H19
TRIB1,CSH2
JAZF1,GTF2IRD2
SMYD3,FAM156A
