P,E,T
0,0,0
0,0,0
1,0,0
1,0,0
2,0,0
2,0,0
3,0,1
3,0,1
3,1,1
3,0,1
4,0,1
4,0,1
4,0,2
4,0,1
4,0,1
4,0,2
4,1,1
4,1,2
4,0,1
4,0,2
5,0,1
5,0,1
5,0,2
5,0,1
5,0,1
5,0,2
5,1,1
5,1,2
5,0,1
5,0,2
6,0,1
6,0,1
6,0,2
6,0,1
6,0,1
6,0,2
6,1,1
6,1,2
6,0,1
6,0,2
6,0,2
6,0,2
6,1,2
6,0,2
7,0,2
7,0,2
7,1,2
7,0,2
8,0,2
8,0,2
8,1,2
8,0,2
9,0,2
9,0,2
9,1,2
9,0,2
10,2,2
10,0,2
10,0,2
10,1,2
10,0,2
11,2,2
11,2,2
11,0,2
11,0,2
11,0,2
11,0,2
11,1,2
11,1,2
11,0,2
11,0,2
11,2,2
11,3,2
12,2,2
12,3,2
13,2,2
13,3,2
14,2,2
14,3,2
15,2,2
15,4,1
15,4,2
15,4,1
15,4,2
15,3,2
15,3,1
15,3,2
16,2,2
16,4,1
16,4,2
16,4,1
16,4,2
16,3,2
16,3,1
16,3,2
17,0,2
17,0,2
17,1,2
17,0,2
17,4,2
17,4,2
17,3,2
17,3,2
17,0,2
17,0,2
17,1,2
17,0,2
17,4,2
17,4,2
17,3,2
18,0,1
18,0,2
18,0,2
18,0,1
18,0,2
18,0,2
18,1,1
18,1,2
18,0,1
18,0,2
19,0,2
19,0,2
19,1,2
19,0,2
19,0,1
19,0,2
19,0,2
19,0,1
19,0,2
19,0,2
19,1,1
19,1,2
19,0,1
19,0,2
20,0,2
20,0,2
20,1,2
20,0,2
21,0,2
21,0,2
21,1,2
21,0,2
22,0,2
22,0,2
22,1,2
22,0,2
23,2,1
23,0,3
23,0,1
23,0,1
23,0,2
23,0,2
23,0,3
23,0,1
23,0,1
23,0,2
23,0,2
23,1,3
23,1,1
23,1,2
23,0,3
23,0,1
23,0,2
23,4,2
23,4,2
23,3,2
24,5,4
25,6,4
26,6,4
26,6,4
27,6,4
27,6,4
28,6,5
28,6,5
28,6,4
28,6,4
28,6,4
28,6,4
28,6,4
28,6,4
28,6,2
28,6,2
28,6,5
28,6,4
