file,group,dataset
A34019.H3K4me1.merge_bwa.hg19a.A34019_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A34020.H3K4me3.merge_bwa.hg19a.A34020_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A34021.H3K9me3.IX2823.140939.75nt.hg19a.bwa-0.5.7.C3YJAACXX_5_CTTGTA.q5.F1028.PET.ucsc.bw,1,3
A34022.H3K27me3.IX2655.140938.75nt.hg19a.bwa-0.5.7.C3YJAACXX_4_AAGCGA.q5.F1028.PET.ucsc.bw,1,4
A34023.H3K36me3.IX2824.140940.75nt.hg19a.bwa-0.5.7.C3YJAACXX_6_ACTCTC.q5.F1028.PET.ucsc.bw,1,5
A34024.H3K27ac.merge_bwa.hg19a.A34024_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A34025.Input.IX2825.140941.75nt.hg19a.bwa-0.5.7.C3YJAACXX_7_CACGAT.q5.F1028.PET.ucsc.bw,1,7
A34035.H3K4me1.merge_bwa.hg19a.A34035_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A34036.H3K4me3.merge_bwa.hg19a.A34036_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A34037.H3K9me3.IX2844.141710.75nt.hg19a.bwa-0.5.7.C4C9JACXX_2_AACCCC.q5.F1028.PET.ucsc.bw,1,3
A34038.H3K27me3.IX2843.141116.75nt.hg19a.bwa-0.5.7.C3RULACXX_1_ACCCAG.q5.F1028.PET.ucsc.bw,1,4
A34039.H3K36me3.IX2845.141711.75nt.hg19a.bwa-0.5.7.C4C9JACXX_3_AGCGCT.q5.F1028.PET.ucsc.bw,1,5
A34040.H3K27ac.merge_bwa.hg19a.A34040_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A34041.Input.IX2846.141303.75nt.hg19a.bwa-0.5.7.C3RTTACXX_5_CCAACA.q5.F1028.PET.ucsc.bw,1,7
A34074.H3K4me1.merge_bwa.hg19a.A34074_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A34075.H3K4me3.merge_bwa.hg19a.A34075_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A34076.H3K9me3.IX2844.141710.75nt.hg19a.bwa-0.5.7.C4C9JACXX_2_TAATCG.q5.F1028.PET.ucsc.bw,1,3
A34077.H3K27me3.IX2843.141116.75nt.hg19a.bwa-0.5.7.C3RULACXX_1_TGAATG.q5.F1028.PET.ucsc.bw,1,4
A34078.H3K36me3.IX2845.141711.75nt.hg19a.bwa-0.5.7.C4C9JACXX_3_AGTTCC.q5.F1028.PET.ucsc.bw,1,5
A34079.H3K27ac.merge_bwa.hg19a.A34079_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A34080.Input.IX2846.141303.75nt.hg19a.bwa-0.5.7.C3RTTACXX_5_TAGCTT.q5.F1028.PET.ucsc.bw,1,7
A34938.H3K4me1.merge_bwa.hg19a.A34938_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A34939.H3K4me3.merge_bwa.hg19a.A34939_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A34940.H3K9me3.IX2651.140815.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_1_CTTGTA.q5.F1028.PET.ucsc.bw,1,3
A34941.H3K27me3.IX2650.140810.75nt.hg19a.bwa-0.5.7.C3THCACXX_4_AAGCGA.q5.F1028.PET.ucsc.bw,1,4
A34942.H3K36me3.IX2652.140816.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_2_ACTCTC.q5.F1028.PET.ucsc.bw,1,5
A34943.H3K27ac.merge_bwa.hg19a.A34943_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A34944.Input.IX2653.140817.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_3_CACGAT.q5.F1028.PET.ucsc.bw,1,7
A34945.H3K4me1.merge_bwa.hg19a.A34945_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A34946.H3K4me3.merge_bwa.hg19a.A34946_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A34947.H3K9me3.IX2823.140939.75nt.hg19a.bwa-0.5.7.C3YJAACXX_5_AACCCC.q5.F1028.PET.ucsc.bw,1,3
A34948.H3K27me3.IX2655.140938.75nt.hg19a.bwa-0.5.7.C3YJAACXX_4_ACCCAG.q5.F1028.PET.ucsc.bw,1,4
A34949.H3K36me3.IX2824.140940.75nt.hg19a.bwa-0.5.7.C3YJAACXX_6_AGCGCT.q5.F1028.PET.ucsc.bw,1,5
A34950.H3K27ac.merge_bwa.hg19a.A34950_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A34951.Input.IX2825.140941.75nt.hg19a.bwa-0.5.7.C3YJAACXX_7_CCAACA.q5.F1028.PET.ucsc.bw,1,7
A34952.H3K4me1.merge_bwa.hg19a.A34952_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A34953.H3K4me3.merge_bwa.hg19a.A34953_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A34954.H3K9me3.IX2823.140939.75nt.hg19a.bwa-0.5.7.C3YJAACXX_5_TAATCG.q5.F1028.PET.ucsc.bw,1,3
A34955.H3K27me3.IX2655.140938.75nt.hg19a.bwa-0.5.7.C3YJAACXX_4_TGAATG.q5.F1028.PET.ucsc.bw,1,4
A34956.H3K36me3.IX2824.140940.75nt.hg19a.bwa-0.5.7.C3YJAACXX_6_AGTTCC.q5.F1028.PET.ucsc.bw,1,5
A34957.H3K27ac.merge_bwa.hg19a.A34957_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A34958.Input.IX2825.140941.75nt.hg19a.bwa-0.5.7.C3YJAACXX_7_TAGCTT.q5.F1028.PET.ucsc.bw,1,7
A34959.H3K4me1.merge_bwa.hg19a.A34959_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A34960.H3K4me3.merge_bwa.hg19a.A34960_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A34961.H3K9me3.IX2823.140939.75nt.hg19a.bwa-0.5.7.C3YJAACXX_5_AGGCCG.q5.F1028.PET.ucsc.bw,1,3
A34962.H3K27me3.IX2655.140938.75nt.hg19a.bwa-0.5.7.C3YJAACXX_4_CAACTA.q5.F1028.PET.ucsc.bw,1,4
A34963.H3K36me3.IX2824.140940.75nt.hg19a.bwa-0.5.7.C3YJAACXX_6_CCACGC.q5.F1028.PET.ucsc.bw,1,5
A34964.H3K27ac.merge_bwa.hg19a.A34964_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A34965.Input.IX2825.140941.75nt.hg19a.bwa-0.5.7.C3YJAACXX_7_GCAAGG.q5.F1028.PET.ucsc.bw,1,7
A35236.H3K4me1.merge_bwa.hg19a.A35236_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A35237.H3K4me3.merge_bwa.hg19a.A35237_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
