PromEnh,PromOnly
FOXN3,HIST2H4A
MED13L,HIST2H4B
XYLT1,HIST2H3C
FOXO1,P2RY8
MGAT5,HIST2H3A
NOTCH2,PAM
MCTP2,VAMP7
VAV3,SERPINA11
MAX,DOK7
NOTCH2NL,PPP2R3B
ETV6,SLC25A6
PTPRC,ARRDC4
ZNF608,AMY1B
KMT2E,FBXO3
JARID2,GOT1
JAZF1,EXOC1
PRKCE,FAM156A
LPP,CD99
ZNF217,AKAP17A
STK24,MAGED4
CHST11,MAGED4B
UST,PTPRC
LRRC37A3,ALKBH6
CCDC6,IFI44L
RYBP,RBM5
IGLL5,CSF2RA
MKLN1,SPECC1
PLEKHG1,PRAMEF14
NBPF1,ETV7
BCL2L10,ASMTL
SGMS1,TENM3
SETBP1,TRPV4
YPEL1,SPRN
FAM72C,AMY1C
SLC35E3,PRKACB
CDC42SE2,CRYM
NUP160,PRKAB1
EBLN2,HSFY2
BCL2L11,ANGPTL1
EHMT1,SLC36A4
CLEC2D,WNT5B
GPR183,PRY
ELF1,PARP4
PTEN,RHCG
SSR1,NBPF11
RERE,HSFY1
BACH2,ALG10
TAB2,ANXA11
RASSF3,ZBED1
ALPK2,FAM156B
CUL1,ASB10
LHFPL2,PGPEP1L
C5orf67,IFI44
UTRN,HNRNPR
FAM69A,LYPD5
PAX8,TCP11L2
ZFP36L2,SRSF3
PXK,ILKAP
NBPF10,TMEM121
C6orf106,PDGFRA
ZFP36L1,NLRP5
ARID1B,RBMY1E
RAB11A,IFIT2
NRN1,CYBB
RPP40,STX3
SCML4,MNDA
ATP2B1,ZNF750
MTMR12,CDY1
CUL3,BPY2B
FOXP1,CDY1B
KLF9,PIP5K1B
SLC9A9,SPRY3
ADRBK2,APOBEC1
VPREB1,GSDMD
SMURF2,ZC3H12D
NIPAL4,SLC2A3
VAMP1,KIFAP3
NFATC2,TCP11X2
TMEM121,FAM84A
BCAS1,PIGF
SLC41A2,ZNF148
CAPN7,ITPK1
TM9SF2,RGR
HHEX,ZNF717
CBLB,TRH
LY86,CD72
LYZL2,AFM
DPH5,AMY1A
EPC2,RBMY1D
MAP3K1,C4orf51
MAPKAP1,SMC1B
INSIG1,GAGE1
HTT,LRIF1
GCM1,GMNN
PIP4K2A,CERS4
ZEB2,LPAR1
KIAA0922,TMEM108
RAB7A,PGBD3
ARHGAP24,ARHGAP25
COPEB,GRASP
SEMA4D,CTTNBP2
LUZP6,ZNF839
TMEM170B,MOCS3
PTTG2,PPM1K
IQSEC1,FGFR1OP
MYC,RGS1
MEF2C,TFEB
RREB1,ELK3
DAGLB,PPIAL4A
DOCK10,TEX43
ANKRD9,CHTF8
SLC45A4,CSNK1A1L
ST6GAL1,ZNF444
KCNRG,IRF3
PRCP,SLA2
DLEU7,CHRNA7
B3GALT2,GLS2
HIVEP1,CRYGA
CDC42,ZNF48
MELK,GLCCI1
PLCG2,AOC3
SIK3,NOL3
SMAD3,CRYGD
CLLU1,NLRP4
CD164,TRMT5
CHSY1,DENND3
CCDC182,FAM132A
CHD2,GAGE12H
TNFRSF21,ANKRD52
TNFAIP3,PLAUR
CRB2,TAS1R3
ZNF365,NARF
HIVEP2,SMOX
PROSER2,ESYT3
TRIB1,FAM162B
SERPINB9,DICER1
JAK1,DNAJB4
CERK,CHD2
LYSMD4,FAM174B
SYK,GAGE13
AKAP13,ATN1
TEX35,TNNI3K
B3GNT2,COMMD6
CD83,ATXN7
FARS2,C14orf80
CD180,PACSIN3
RPS20,LPAR5
CHMP6,KANSL2
LBH,ZCCHC8
SNX29,ERN1
SGK223,PPIAL4F
SACM1L,LRRC29
MARK4,RHBDF1
BMP2K,PRND
RUNX1,MPHOSPH8
CDK17,CYP4F12
PIK3CD,HPS1
MED4,CHST9
SNX18,SMAP2
PLXNC1,PGBD1
CD47,OTX2
ID2,SPTA1
EML4,DAZ2
LRRC8C,SLC25A39
UBE2E2,USP53
LRCH1,RNF181
GPR68,C14orf93
PLCL2,TNPO2
PRPF18,RASIP1
RAPGEF1,TTC8
PACS1,RGMA
CXCR4,DIO2
MSI2,FOXN3
GMFB,SLC17A4
GRHPR,ACVRL1
CCKAR,CLIP3
GSDMC,WDR6
PDE7A,GAGE12F
AP1S3,KIAA0895L
DDIAS,FAM169B
LILRA5,SCML4
NDUFAF6,CRLF2
MAD1L1,MRVI1
C1GALT1,PRAMEF5
SRPK2,OGDHL
ZCCHC7,LRP6
ZNF396,IGF2BP1
STK4,TBC1D10C
NCOA2,RPP25L
PDCD4,PLCH2
UVRAG,NUDT8
MYB,GAPD
CLMN,FGFR1OP2
C10orf128,CPNE4
BTG1,FNTA
TCF4,RASGEF1B
LPIN1,ZNF618
RBM20,NACA
LGMN,ICA1
MICAL3,ZFYVE16
ITM2A,DYDC2
FBXW8,DPM1
PGAP1,SSX2B
PPP6R3,TMEM173
ARID5B,ZNF431
TFRC,PECI
ZDHHC14,ATP6V0D1
USP3,HSPBP1
FNBP1,C2orf50
BLK,RPP14
FOXR1,CEP41
PPP3CA,DAZ3
INPP5A,RASSF9
FAM49B,RNF112
MAPRE2,TOP3A
WEE1,MSH6
ASXL2,BCL11A
GALNT10,BRINP3
TBL1XR1,LYL1
RPA3,LYRM1
TRIO,PLSCR4
BLOC1S5,KLC4
SIPA1L1,GRIN3A
PREX1,SNTA1
CAPRIN1,MT1M
NAPG,HIP1
ZBTB38,TTC37
RRM1,HNRNPA1L2
C9orf152,C22orf46
RTP5,RAB3IL1
ZSCAN2,ZNF575
PPP2R5C,SPSB2
PAX5,CT45A6
PPP2R5E,RHOG
PPP2R3A,SPANXB1
HES1,NLRP7
S1PR1,ENTPD8
EBF1,RNF175
TBC1D9,E2F4
RAB44,R3HDM1
SUMF1,PRG4
RGS1,RAP1GDS1
MAML2,YWHAQ
DAD1,ADH1A
TLK1,DOC2A
CYBB,RBM6
SNX22,USP4
LAIR1,TTLL1
CHPT1,ARL1
USP25,GRM5
ANKRD44,DUS2
RPAP3,ZNF225
NFE2L3,HABP2
GRAPL,TMEM259
PUM1,CCDC15
GSAP,ZNF212
MRPL39,WDR87
ANKRD46,EFCAB6
FAM53B,KCNH2
DIP2B,MSANTD3
TNS3,POU3F1
CCNY,CT45A7
DDHD1,UBE2D3
APOLD1,VCY
BPTF,SLC39A12
PRKCB,PNPLA6
SLC25A25,DAGLB
MPEG1,XYLT1
IL20RB,GRM1
ITM2C,CFH
METRNL,RPL8
VAMP2,SPHAR
ELMO1,DCT
ADSL,C1orf233
BCL11A,EIF4G2
CABP4,HSPB8
RAP1A,BDP1
AMZ2,MT1B
FRYL,ANKRD60
TNRC6B,GRIK3
TG,TMBIM1
ABO,NRN1
ABI1,ANGPTL3
TNKS,FANCB
COX18,IGF1R
CBWD2,EPHA4
ST3GAL1,FSD1L
SWAP70,BARHL1
RIN2,CERCAM
MBNL1,BRD1
JMJD1C,SLC11A2
USP12,FAM69A
ACBD3,GTF2F2
TMEM242,BCAM
FAM169B,PLSCR2
GCH1,RBMY1J
AGO2,TPI1
ERC1,THTPA
GRK5,VCY1B
ZNF484,DSP
TLL2,RAP1A
GPR84,OBSCN
NCBP3,FYN
MSH6,CLEC2A
SIPA1L3,NTMT1
ADIPOR2,H2AFB2
F13A1,NXF2B
FOXK1,F8A2
ATF7IP,PQLC3
PDE4B,PLXNA1
STT3B,CSNK1G1
RABGAP1L,MRGPRE
ATP6V0D1,ANKRD33
CNOT6L,COL5A1
ATP10D,CLEC4D
PSTPIP2,LRRC8B
RBM38,XAGE1A
ARHGAP15,SPP1
RGS6,USP14
ZNF786,ADH4
LRRC16A,TAF9
HDAC7,DDX51
NRBF2,TMEM192
GAB2,SPOP
SAMM50,ZNF608
EEA1,SIN3B
TACC1,PNKP
RECK,GRIA1
KLHL25,FBXW8
CLIC4,ZDHHC20
NARS,NR2F2
CNPY1,LBX2
MXI1,RNF223
FAM60A,ING4
TGFBR2,NR4A1
ADARB1,SLC11A1
TMEM252,ACY3
ARL4D,DRG2
TRIT1,FERMT2
AGBL2,PRB1
ZPBP,ARL6IP6
CHD7,PAF1
IL21R,MEF2A
NR4A3,C4orf22
KIAA0930,GLYATL1
AFF3,CD59
NCF1,PFKP
UBAC2,CCZ1B
IER5,CD79B
CCDC36,UNC13D
PCSK9,LCP2
N4BP1,DHX40
TAS2R60,XAGE1B
TMCC3,MBOAT7
SCFD2,LMO2
CEP57L1,CCDC125
SLC38A1,ASAP2
C3orf84,CDC10
PPARD,PIK3CB
USP22,CXCL16
N4BP2L1,ZNF728
SYNJ2,SLC15A1
RASGEF1B,SMAD4
NKX6-3,NOP2
ITM2B,CFHR3
NR3C1,PLSCR1
GPR155,DCP1B
LDLRAD4,MXRA8
POM121C,CT45A3
SOS1,ITPR3
EDEM1,F8A3
YY1,CFHR4
ENPP6,TANK
LCMT1,ZNF777
CAMK2D,RGS6
WDR87,NOXA1
HIPK3,SAMD9
RBM33,CDS2
DUSP10,WDR46
PLD6,ZFP36L2
NEDD9,C9orf57
LRRC4,ACTR3C
PPP1R21,LONP1
MBP,C20orf144
LAMC1,STC2
LCLAT1,SPATA18
RPS6KA5,PRR13
PLAC8,SUPT20H
MKL1,MRPS36
UBE2N,NBPF15
ATP6V1C1,HSPB7
CCR8,IKZF1
SLC15A4,DCAF12
FCGR1A,PAPOLA
ANKRD11,LIMS2
TIGAR,CABYR
FAM65B,UMOD
PIK3CB,SUCO
RFC3,MAX
CDKN2B,YPEL1
SNRK,CLEC2D
HDAC9,H2AFB3
DENND5A,TP53RK
TPST2,PTCH1
PLGLB2,RBMY1A1
BRD3,ACVR1B
THUMPD2,MOAP1
ADGRE1,TNFAIP8
CMIP,TMEM52
METTL9,CNN2
GTDC1,KLHL25
WNT16,SSX2
FYN,RPL18
ARF3,ABCD1
RBM34,NICN1
LMO2,GPR82
CSNK1G1,GPN1
FLT1,FAM111A
RANBP9,COG3
PELI2,ZFPM2
LYST,XAGE2
TVP23A,TP73
CACUL1,MTERF2
CLEC2L,GDF7
SFT2D3,FAM83G
OSBPL11,FAM216A
GBX1,TRAPPC6A
KIF16B,VPS11
ANXA2R,HAL
TNFRSF8,CES4A
AKAP2,EMILIN1
SKAP1,SYNE2
TRANK1,PEX10
TPK1,RUNDC1
DTHD1,BCAP31
HSD17B13,PLXNB2
AAK1,CORO2A
NDUFV1,MYH10
AGPAT5,C1QTNF2
PCNX,COL8A2
C11orf63,AJAP1
ATG16L1,ADAM17
CRYM,TCF4
MTCL1,PIK3IP1
UGDH,ATMIN
ABCC2,WBSCR27
GFOD1,KRT84
AGRP,UTP3
SLC51B,COX16
SKI,LIN7B
SCYL1,ADH1B
POTEB3,ZP3
STK17B,FAM13C
EPN2,SERPINA1
TOP1,CHEK2
LEO1,NMI
ASAP1,PPP1CB
TBC1D7,ARNTL
SFRS8,TMEM240
USP15,LRRC28
NEK7,TMEM198
MYH9,BCAS4
RAD51B,SCEL
FUT8,HSPA12B
ANXA6,GAGE12C
PIK3R1,LAMA4
MORC3,GTSE1
ZFR,TSHZ2
POMP,CACNA1C
PRKACG,WDR89
USP28,BRWD1
KLF3,SLC19A1
NRROS,TMC5
ZSWIM6,CHST4
C1orf95,PAIP1
LTA4H,KCNAB3
XRN1,ACAT2
SNAI1,SH2D4B
BANK1,EDN1
CNOT11,CORO1A
ZNF516,CDRT15
C14orf166,SFTA3
AIM1,SNRPG
TACSTD1,PTHLH
C3orf67,ZNF226
EIF2S2,BMP8B
FAM65C,ADAM29
BOD1,ADAMTS6
RTN4IP1,PFDN4
GNPTAB,CCR6
PHF2,TIAL1
QRSL1,SPATA13
C20orf196,KIAA0174
SORL1,CLN8
SARAF,PELI3
ABL2,FAM175A
KDELR2,OXER1
VGLL4,IL17D
RIC1,TMEM150A
ARL4C,CMTM1
FBXL14,TRAF3IP2
NCK2,GRK4
GINM1,CDHR4
UPF3A,CLCNKB
ERN1,PLK1
BCAS4,EPHA3
FBXW11,RCAN1
HIVEP3,UBE2E3
ELK3,CHPF2
WBSCR16,MTA3
EPC1,FAM114A1
GLG1,NDUFC2-KCTD14
IVNS1ABP,SLC25A21
STK39,CDK4
IKZF1,PINLYP
LNPEP,ARMT1
INHBA,PTER
LRRK1,SPATA8
SLC35E1,ADCY6
GCNT2,KCNC4
STX1B,KMO
DTX2,ZNF574
NCOA3,SLC5A11
RAB12,PRR5
FOSB,PRSS8
FBXL20,WIF1
RHBDD1,SLC13A3
ARHGAP18,LY6G6F
PHLPP1,PHLDA3
KCTD7,KRT71
HMOX1,DIABLO
FAM193A,SUSD3
TLE1,SCMH1
PTPN23,CIC
ANK1,ZNF596
CLN8,FADS2
ZHX2,DTX2
SP4,ZNF143
TTLL1,KCNJ12
KMT2C,TVP23B
ARHGAP25,PDC
CAMK1D,CRTAC1
KBTBD8,CBX5
SH3BP4,ARHGEF10L
EFNA1,MT1F
UBE2G1,GTPBP2
ELF2,PTRF
KCMF1,PLK2
C4orf32,HSD17B13
p100,NMU
CARD11,ALDH3A2
GCNT1,TNK2
PPIL4,CUTA
CCDC93,LRPPRC
GMPR,MRPS33
SLC45A3,RUNX1T1
ATAD2B,EXOC5
MAN1A1,DNAJC9
EDN1,TLN1
BTLA,SAMD13
MAP1LC3B2,EDNRB
CPPED1,TDG
TRAF3,SLC1A6
PECI,DOCK9
SUSD6,FANCC
CYFIP2,SPATA2
SAMHD1,DNAJB1
PPM1B,UQCRFS1
RAPGEF6,HPS5
C7orf26,PRDM8
UGCG,GBP1
QKI,COX7A2
ADO,FOSL2
YWHAG,ARF4
PIK3R2,UBTF
LPCAT1,DNMT3B
MEF2A,PEX5
TXNL,CD84
POU5F1B,TBL2
EEF2K,TUBA8
ALPK1,DPYSL2
SLC39A10,SCNN1A
EIF2AK3,ADD2
RNF114,SLC39A9
MAT1A,GNB5
FAM63B,ARHGEF26
AUH,EEF2K
CLUH,RAX
TCEB3,S100A16
