PromEnh,PromOnly
HAAO,SAMD11
ZFP36L2,NOC2L
TRIB1,KLHL17
MED13L,PLEKHN1
COPEB,PERM1
LRRC4,HES4
POU5F1B,ISG15
MYC,AGRN
AGO2,RNF223
ID2,C1orf159
FSD1L,TTLL10
MKLN1,TNFRSF18
FOXN3,TNFRSF4
XYLT1,SDF4
NEDD4L,B3GALT6
ZNF608,FAM132A
HES1,UBE2J2
C1QTNF2,SCNN1D
MGAT5,ACAP3
SGK223,PUSL1
SGMS1,CPSF3L
KMT2E,CPTP
SOX9,TAS1R3
IRF2BP2,DVL1
IRS2,MXRA8
GLI2,AURKAIP1
PRKCE,CCNL2
SFRS8,MRPL20
CLEC2L,ANKRD65
MKRN1,TMEM88B
AGAP1,VWA1
EFNB2,ATAD3B
PTTG2,ATAD3A
STK24,TMEM240
STT3B,SSU72
FOXC1,C1orf233
TBC1D4,MIB2
FOXO1,MMP23B
ZSWIM6,CDK11B
PLXNA4,SLC35E2B
COBL,CDK11A
SOX4,SLC35E2
CHST11,NADK
LPP,GNB1
RBM20,TMEM52
ARRDC3,CFAP74
MTMR12,GABRD
TAB2,PRKCZ
JARID2,FAAP20
ARHGAP10,SKI
IQGAP2,MORN1
RYBP,RER1
ETV6,PEX10
EXT1,PLCH2
GLIS3,PANK4
MICAL3,HES5
TNS3,TNFRSF14
KLF4,FAM213B
CTAGE1,MMEL1
SLC25A47,TTC34
INPP5A,ACTRT2
PODXL,PRDM16
C6orf106,ARHGEF16
GNAQ,MEGF6
SMAD3,TPRG1L
PYROXD2,WRAP73
PARD3,TP73
RPLP1,CCDC27
NBPF1,SMIM1
ST3GAL1,LRRC47
KCNRG,CEP104
p100,DFFB
HDAC4,C1orf174
KLF9,AJAP1
DTX2,KCNAB2
RNF144A,NPHP4
AFAP1,CHD5
CALM1,RPL22
HS3ST1,RNF207
FAM49B,ICMT
SVIL,HES3
HIVEP2,GPR153
EGLN3,ACOT7
USP12,HES2
SYK,ESPN
NDUFAF6,TNFRSF25
PREX1,PLEKHG5
POM121C,NOL9
DOK7,TAS1R1
TG,ZBTB48
ITM2C,KLHL21
NFE2L3,PHF13
FAT1,THAP3
INSIG1,DNAJC11
SLC7A11,CAMTA1
PSD3,VAMP3
CLCN4,PER3
ALPK2,UTS2
TEX29,TNFRSF9
C6ORF37,PARK7
DLEU7,ERRFI1
XRCC5,SLC45A1
GALNT7,RERE
DAB2IP,ENO1
ZNF217,CA6
BTG1,SLC2A7
PRUNE2,SLC2A5
PXDN,GPR157
RUNX2,H6PD
SLC2A12,SPSB1
GSDMC,SLC25A33
TRIO,TMEM201
STK39,PIK3CD
RPS20,CLSTN1
KLF3,CTNNBIP1
UST,LZIC
NDRG1,NMNAT1
PPARGC1B,RBP7
GPR183,UBE4B
FGL1,KIF1B
FMNL2,PGD
ZMIZ1,APITD1-CORT
MYLK,APITD1
TRIM24,CORT
JAZF1,DFFA
CLMN,PEX14
ZNF706,CASZ1
SNAI1,C1orf127
CDC42SE2,TARDBP
AKAP13,MASP2
PTPRD,SRM
RISC,EXOSC10
MICU2,ANGPTL7
RIC1,MTOR
BCL2L11,UBIAD1
RAPGEF2,PTCHD2
TGFBR2,FBXO44
ATP2B1,FBXO2
TLN2,FBXO6
EGFR,MAD2L2
ZNF618,DRAXIN
KCNMA1,AGTRAP
ATP6V1C1,MTHFR
GRHPR,CLCN6
LPCAT1,NPPA
ARID1B,NPPB
TMEM242,KIAA2013
SLC45A4,PLOD1
SPATA13,MFN2
ASAP1,MIIP
MAP7,TNFRSF8
POMP,TNFRSF1B
C4orf19,VPS13D
FAM84B,DHRS3
SCARB1,AADACL4
TMPRSS2,AADACL3
SUSD6,C1orf158
SETBP1,PRAMEF1
TBL1XR1,PRAMEF11
IQSEC1,HNRNPCL1
RIPK2,PRAMEF2
PCNX,PRAMEF4
PRPF18,PRAMEF10
DOCK5,PRAMEF7
CACNA1C,HNRNPCL2
PLCL2,PRAMEF5
ARHGEF28,PRAMEF14
BCOR,LRRC38
PTEN,T1A
PITRM1,PDPN
CDKN2B,PRDM2
PRKCA,KAZN
HTT,TMEM51
ELMO1,FHAD1
MAD1L1,EFHD2
LRRC16A,CTRC
CHGA,CELA2A
NRIP1,CELA2B
TNFAIP3,CASP9
CHD7,DNAJC16
FAM20C,AGMAT
PFDN1,DDI2
UTRN,RSC1A1
PHLPP1,PLEKHM2
MBOAT1,SLC25A34
SLC6A6,TMEM82
GPR157,FBLIM1
LDLRAD4,UQCRHL
TAF1B,SPEN
FHOD3,ZBTB17
TM9SF2,C1orf64
EAPP,HSPB7
GPR55,CLCNKA
CEP57L1,CLCNKB
FRMD1,FAM131C
DGKI,EPHA2
BMP2K,ARHGEF19
PELI2,RSG1
XXYLT1,FBXO42
C5orf67,NECAP2
RPL31,NBPF1
PPARGC1A,CROCC
ADIPOR2,MFAP2
CDK5RAP2,ATP13A2
ENPP6,SDHB
IER5,PADI2
FBXW7,PADI1
KIAA0922,PADI3
NFAM1,PADI4
SIK3,RCC2
EEA1,ARHGEF10L
DIP2C,ACTL8
AKR1B1,IGSF21
PLCG2,KLHDC7A
ZNF516,PAX7
MAX,ALDH4A1
IQSEC3,IFFO2
TP53INP1,UBR4
EFNA5,MRTO4
SERPINB9,EMC1
SMURF2,AKR7A3
KLHL38,AKR7A2
NKX2-3,FLJ20320
SLC18A2,CAPZB
MAPKAP1,MINOS1-NBL1
ATP11A,MINOS1
ARHGAP26,NBL1
CLINT1,TMCO4
KCTD1,RNF186
TACC1,OTUD3
PLEKHA7,PLA2G2E
CUX1,PLA2G2A
IGFBP2,PLA2G5
EEPD1,PLA2G2D
FAM169B,PLA2G2F
ANKRD11,PLA2G2C
GCNT1,UBXN10
EDN1,VWA5B1
HRCT1,CAMK2N1
GPR20,MUL1
USP3,FAM43B
DUSP10,CDA
EFCAB1,PINK1
CD164,DDOST
CCNL1,KIF17
TRIM52,SH2D5
CCNY,HP1BP3
TLL2,EIF4G3
LRRC1,ECE1
VAMP1,NBPF3
FOXK2,ALPL
PTPRG,RAP1GAP
ARSJ,USP48
ALDH1A1,LDLRAD2
KNS2,HSPG2
DNAJB6,CELA3B
PDLIM5,CELA3A
RUNX1,CDC42
PROSER2,ZBTB40
PPM1H,EPHA8
RBM38,C1QA
SHB,C1QC
ZNF703,C1QB
HADHSC,EPHB2
ROR2,LACTBL1
ERN1,C1orf234
RTP5,KDM1A
DPYSL3,LUZP1
EBLN2,HTR1D
KLF13,HNRNPR
PPARD,HNRPR
TANC1,ZNF436
RAB1A,TCEA3
ANKRD46,ASAP3
LGMN,E2F2
LYZL2,ID3
PAG1,RPL11
LY86,TCEB3
DTHD1,PITHD1
SERP2,LYPLA2
TMEM121,GALE
ZCCHC24,HMGCL
YWHAG,FUCA1
LCLAT1,CNR2
RBM47,PNRC2
SPDEF,SRSF10
RAB44,MYOM3
LHFPL2,IL22RA1
SNX18,IFNLR1
BIK,GRHL3
GMPR,STPG1
NCOR2,NIPAL3
FKBP4,RCAN3
SARAF,NCMAP
FAM65B,SRRM1
IAH1,CLIC4
TOX,RUNX3
PLGLB2,SYF2
MBP,RSRP1
FOXQ1,RHD
SH3BP4,TMEM50A
FRY,SMP1
C2orf57,RHCE
ECT2,TMEM57
ANKRD10,LDLRAP1
CRHBP,MAN1C1
DIO3,SEPN1
ZNF704,MTFR1L
UACA,AUNIP
ZFP36L1,STMN1
