file,group,dataset
A33073.H3K4me1.merge_bwa.hg19a.A33073_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A33074.H3K4me3.merge_bwa.hg19a.A33074_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A33075.H3K9me3.IX2651.140815.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_1_AACCCC.q5.F1028.PET.ucsc.bw,1,3
A33076.H3K27me3.IX2650.140810.75nt.hg19a.bwa-0.5.7.C3THCACXX_4_ACCCAG.q5.F1028.PET.ucsc.bw,1,4
A33077.H3K36me3.IX2652.140816.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_2_AGCGCT.q5.F1028.PET.ucsc.bw,1,5
A33078.H3K27ac.merge_bwa.hg19a.A33078_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A33079.Input.IX2653.140817.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_3_CCAACA.q5.F1028.PET.ucsc.bw,1,7
A33467.H3K4me1.merge_bwa.hg19a.A33467_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A33468.H3K4me3.merge_bwa.hg19a.A33468_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A33469.H3K9me3.IX2651.140815.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_1_TAATCG.q5.F1028.PET.ucsc.bw,1,3
A33470.H3K27me3.IX2650.140810.75nt.hg19a.bwa-0.5.7.C3THCACXX_4_TGAATG.q5.F1028.PET.ucsc.bw,1,4
A33471.H3K36me3.IX2652.140816.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_2_AGTTCC.q5.F1028.PET.ucsc.bw,1,5
A33472.H3K27ac.merge_bwa.hg19a.A33472_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A33473.Input.IX2653.140817.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_3_TAGCTT.q5.F1028.PET.ucsc.bw,1,7
A33474.H3K4me1.merge_bwa.hg19a.A33474_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A33475.H3K4me3.merge_bwa.hg19a.A33475_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A33476.H3K9me3.IX2651.140815.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_1_AGGCCG.q5.F1028.PET.ucsc.bw,1,3
A33477.H3K27me3.IX2650.140810.75nt.hg19a.bwa-0.5.7.C3THCACXX_4_CAACTA.q5.F1028.PET.ucsc.bw,1,4
A33478.H3K36me3.IX2652.140816.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_2_CCACGC.q5.F1028.PET.ucsc.bw,1,5
A33479.H3K27ac.merge_bwa.hg19a.A33479_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A33480.Input.IX2653.140817.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_3_GCAAGG.q5.F1028.PET.ucsc.bw,1,7
A33481.H3K4me1.merge_bwa.hg19a.A33481_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A33482.H3K4me3.merge_bwa.hg19a.A33482_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A33483.H3K9me3.IX2651.140815.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_1_ATGTCA.q5.F1028.PET.ucsc.bw,1,3
A33484.H3K27me3.IX2650.140810.75nt.hg19a.bwa-0.5.7.C3THCACXX_4_TTAGGC.q5.F1028.PET.ucsc.bw,1,4
A33485.H3K36me3.IX2652.140816.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_2_GGCTAC.q5.F1028.PET.ucsc.bw,1,5
A33486.H3K27ac.merge_bwa.hg19a.A33486_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A33487.Input.IX2653.140817.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_3_ACGATA.q5.F1028.PET.ucsc.bw,1,7
A70972.CEMT_73.H3K4me1.hg19a.IX5268.CB4DUANXX_1_ATCACG.q5.F1028.PET.wig.bw,1,1
A70973.CEMT_73.H3K4me3.hg19a.A70973_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,2
A70974.CEMT_73.H3K9me3.hg19a.IX5268.CB4DUANXX_1_TTAGGC.q5.F1028.PET.wig.bw,1,3
A70975.CEMT_73.H3K27me3.hg19a.IX5268.CB4DUANXX_1_TGACCA.q5.F1028.PET.wig.bw,1,4
A70976.CEMT_73.H3K36me3.hg19a.A70976_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,5
A70977.CEMT_73.H3K27ac.hg19a.IX5269.CB4DUANXX_2_GCCAAT.q5.F1028.PET.wig.bw,1,6
A70978.CEMT_73.Input.hg19a.IX5270.CB4DUANXX_3_CAGATC.q5.F1028.PET.wig.bw,1,7
A70979.CEMT_74.H3K4me1.hg19a.IX5270.CB4DUANXX_3_GATCAG.q5.F1028.PET.wig.bw,1,1
A70980.CEMT_74.H3K4me3.hg19a.IX5269.CB4DUANXX_2_TAGCTT.q5.F1028.PET.wig.bw,1,2
A70981.CEMT_74.H3K9me3.hg19a.IX5270.CB4DUANXX_3_GGCTAC.q5.F1028.PET.wig.bw,1,3
A70982.CEMT_74.H3K27me3.hg19a.IX5270.CB4DUANXX_3_CTTGTA.q5.F1028.PET.wig.bw,1,4
A70983.CEMT_74.H3K36me3.hg19a.IX5271.CB4DUANXX_4_AAACAT.q5.F1028.PET.wig.bw,1,5
A70984.CEMT_74.H3K27ac.hg19a.IX5269.CB4DUANXX_2_AAAGCA.q5.F1028.PET.wig.bw,1,6
A70985.CEMT_74.Input.hg19a.IX5271.CB4DUANXX_4_AAATGC.q5.F1028.PET.wig.bw,1,7
A71310.CEMT_75.H3K4me1.hg19a.IX5271.CB4DUANXX_4_ACCCAG.q5.F1028.PET.wig.bw,1,1
A71311.CEMT_75.H3K4me3.hg19a.A71311_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,2
A71312.CEMT_75.H3K9me3.hg19a.A71312_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,3
A71313.CEMT_75.H3K27me3.hg19a.IX5272.CB4DUANXX_5_ACTCTC.q5.F1028.PET.wig.bw,1,4
A71314.CEMT_75.H3K36me3.hg19a.IX5272.CB4DUANXX_5_ACTGAT.q5.F1028.PET.wig.bw,1,5
