PromEnh,PromOnly
ZNF608,ZNF140
QKI,SLC25A6
MED13L,SEPT4
SOX9,POLR2J2
HDAC4,GOLGA6L10
COBL,XAGE1B
NCAM1,RPS17
ZNF536,SSX2B
CALM1,HIST2H4B
AGAP1,MROH1
XYLT1,DAZ2
MKLN1,FAM25G
LMX1B,CBWD5
EGLN3,BPY2B
MGAT5,AMY1C
DAB2IP,C4B
MVB12B,RBMY1D
SLC22A16,DDT
PPM1H,TSPY8
BMPR1B,GRAPL
PARD3,HSFX2
MBP,CCL4L2
CADM1,MAGEA4
TTC7B,NBPF15
KMT2E,USP17L8
RYBP,PRY
PTPRD,GPAT2
PELI2,PNMA6A
AGO2,UBE2L3
GLI2,H2AFB3
SLC24A2,MAGEA9
DTHD1,GOLGA6A
NTM,XAGE1A
SORL1,AMY1A
CBLB,GTF2H2
DIP2C,HSFY1
UST,NBPF11
EXT1,PRR23D2
GSDMC,RBMY1J
TRIB1,CKMT1B
ACER2,MAGED4B
TLN2,SLX1B
TMEM53,CT45A3
ARID1B,HIC2
SLCO3A1,F8A3
C1orf228,MBD3L3
TBL1XR1,MAGEA6
RNF144A,TBC1D3F
DUSP10,MAGEA3
ZSWIM6,TP53TG3B
ZFHX3,SPANXB1
ARRDC3,HIST2H3A
LPP,USP17L3
ASAP1,ANXA8
IL12A,CBWD3
RAPGEF5,DAZ4
PRKD1,CKMT1A
ZNF521,XAGE2
PRUNE2,SERF1A
IRS2,VCY1B
SOX4,NPIPB4
JARID2,TCP11X2
PREX1,GOLGA8O
APBA2,GOLGA6L9
PITPNB,GAGE13
IRF2BP2,SSX2
POU3F3,CDY1
SPRY2,AMY1B
GNAQ,C4A
SPOCK1,RBMY1A1
CD180,HSFY2
SEMA4D,PPIAL4A
FOXN3,UPK3BL
EDAR,RBMY1E
RERE,NPIPA7
PODXL,FAM156A
KLF9,LIMS3L
ZMIZ1,H2AFB2
SASH1,NPIPA8
SH3BP4,NXF2B
ARL6IP6,RBFOX3
PRPF40A,MAGEA2
GMPR,LIMS3
GADD45G,CTAG1A
JAZF1,PPIP5K1
TP53BP2,GAGE1
FMNL2,MAGED4
SGK1,CBWD7
CEP78,DAZ3
NRIP1,CFC1B
AUTS2,F8A2
PRKCE,MAGEA9B
DTNBP1,NPIPB9
SYNE3,CT47A1
DOCK5,PRR20E
PSAPL1,SPATA31D3
DOCK10,PLA2G10
NAV2,FAM156B
SGMS1,NPIPB6
UNC5C,CT47A7
SERAC1,NPIPB5
GTF2H5,CT47A9
TNS3,PRAMEF14
NCKAP5,SERF1B
UBASH3B,VCY
ARHGAP23,GOLGA8B
USP24,GAGE12H
CRB2,SULT1A3
KCNK9,CT45A7
RPS6,NBPF12
APCDD1,TCAF2
METTL10,RBMY1F
PBX1,EIF3C
EDEM1,CT47A2
DPYSL2,TBC1D3K
PRKCA,MAGEA2B
HDAC2,CTAG1B
MSX2,RIMBP3C
ATXN1,TSPY2
RAP2A,BOLA2
BACH2,GOLGA6B
SNX9,GOLGA8A
PSD3,GAGE12F
CNDP1,NSF
INPP5A,GOLGA6D
TLE1,CT45A6
ZEB2,TMEM236
NBPF1,CDY1B
NPAS3,HSPCB
EBLN2,PNRC2
RALGAPA2,DBNDD2
ENPP2,SEMA3B
FAM105A,ZNF605
ZFP36L1,MAG
SIPA1L2,NCF1
DPYD,ST18
EEPD1,ZNF26
FAM49B,HHATL
NKX6-2,AGAP9
SYNJ2,SMIM6
POU5F2,CNTN2
FUT8,LILRB3
SOX2,SMN1
TRMT11,PCBP1
PLXDC2,DEFB107A
C6ORF37,TEX28
OGFRL1,SULT1A4
CLVS1,TMEM151A
CPQ,LRRC37A2
STT3B,TJAP1
TIAM1,TMEM235
MRPS9,CTAGE4
LYZL2,SLC25A45
HIVEP2,ATP5G2
MEF2C,OPALIN
ATP8A1,SPAG11B
FAM175B,GSN
TMTC2,KATNAL2
SH3PXD2B,TBC1D3B
SRBD1,CTAGE8
GLI3,FAM153A
SGK223,BRD2
LYZL1,NBPF6
NAPG,CRYAB
BIN1,PPP2R3B
FAM124A,HSP90AB1
MBNL2,SPANXD
ARHGAP5,EML2
TMEM163,FAM107B
AP3B1,TMEM125
CPPED1,TCEB3C
TXNDC2,ZMYND8
SYN3,SPAG11A
RXRA,GOLGA6L4
GPRC5B,SSX4B
TIMP3,SRSF10
