PromEnh,PromOnly
SOX9,SEC61G
DAB2IP,ZFY
ZMIZ1,EGFR
HDAC4,UTY
CCDC182,TMSB4Y
GLI2,DDX3Y
RXRA,GSTM1
SORL1,RPS4Y
EDAR,USP9Y
NCAM1,EIF1AY
QKI,TBL1Y
AGO2,KDM5D
DIP2C,VOPP1
ZFHX3,SRY
CALM1,AKR1C3
PPIF,NLGN4Y
FAM20C,PHYH
APBA2,DCAF8L2
MSI2,ZEB1
XYLT1,LTF
POLG,MTRNR2L5
AGAP1,CCR1
PODXL,SKIDA1
AFAP1,KLRC2
PREX1,MAPT
BRD3,CELA2B
FOXN3,VIM
COBL,CCNY
GRAMD4,TP73
JAZF1,ABCA13
LDLRAD4,CDKN2A
RERE,CELF2
ZCCHC24,FAM107B
ZNF608,IL15RA
EDN2,HIATL1
NTM,CHCHD2
APCDD1,ZNF438
CHMP6,ASB13
NCOR2,RPS4Y2
PLXNA1,NPPA
SH3BP4,MLLT10
MYO18A,SFMBT2
TRIL,SYTL5
GINS2,HSPA14
CRB2,MAP3K8
FAM105A,PRTFDC1
HES1,UCN2
NAV2,BMF
GADD45G,HEPH
NAPG,SUMF2
IRS2,CDKN2B
ZFP36L1,UCMA
SPECC1,PRPF18
LHFPL2,PSG8
FMNL2,SVIL
BAIAP2,CELA2A
UST,SH3TC2
MKLN1,GIMAP5
GSE1,PFKFB3
ASAP1,MEIG1
SULF2,IL13RA2
SH3PXD2B,PIP4K2A
SLC22A23,SHROOM3
ZDHHC22,TUBAL3
HIVEP3,CDNF
MGAT5,THNSL1
LMX1B,CDC123
TTC7B,NUDT5
PSAPL1,UPF2
TNS3,SHF
LEP,FGF1
SCARB1,ENKUR
ARHGAP8,CATSPERB
ZSWIM6,MYBPC1
PRKCE,ANKRD16
LRRC4,PHKG1
RYBP,EDA2R
RNF144A,ARAP3
PRPF18,FBXO18
SPOCK1,RHCE
SREBF1,COMMD3
GUCA2B,CYB5R2
CDC42EP4,PTP4A3
ANGPTL2,MCM10
PLCG2,NOMO1
PSMB7,GRM5
FOXO6,STAM
KY,COMMD3-BMI1
MYC,CATSPER2
ARC,TUBA3E
FANCI,CSN1S1
DOCK10,ZNF534
LRIG1,CHRNA9
FXYD2,TRIM34
KLHL29,EVI5L
CMIP,ANKRD26
KLHL25,FAM86B1
ID2,OR51E2
POU3F3,ZNF404
PRKCA,HNRNPF
LAMC3,CROCC
PMEPA1,OSBPL3
PLXNA2,BAMBI
PSAP,KIF5B
UGGT1,PCDH15
SACM1L,EPS8L2
IRF2BP2,FAR2
PSMG4,CALML5
SNX22,DCLRE1C
PPP1R15B,ARHGEF19
KLF4,ZNF25
COL5A1,AQP12A
CLVS1,PSPH
MCF2L,C6
ZNF423,USP6NL
TRAPPC10,FAM188A
ARHGEF16,PHACTR3
OXNAD1,GATA3
RPLP1,GDI2
PLXNA4,SEC61A2
ATOH8,LIMK1
LINGO1,TCP10L2
DPH3,MASP2
ARL4D,PFKP
C1orf95,MFAP3L
SYT13,ZNF117
TANC1,CSF1R
ARHGEF10L,MSRB2
PUM1,RAB17
FEZ1,CACNB2
TBC1D22A,CCL20
RALGAPA2,CCT6A
PDE4B,NET1
DSCAML1,GBAS
DISC1,PTER
LACTBL1,OR51B6
FAM49A,MTPAP
EGLN3,PAGE3
CADM1,OPTN
AATF,NOL3
ZHX2,FAAH2
DLK1,PLS3
ROR2,ZNF296
RAB11FIP4,DMD
PBX1,CAMK1D
EGFR,RARG
SUCLG1,CD24
PCDH1,PLXDC2
ETV6,DHTKD1
PGBD5,RGR
KNS2,GAD2
INPP5A,IL1RAP
RPS24,ACOX2
MRPS23,TAF3
PDE2A,FKBP9
SMAD7,ZNF879
CASZ1,BMX
SCD5,KLRC3
HS1BP3,CREM
ADRM1,TMPRSS11D
KCNK9,COPEB
MVB12B,GTPBP4
WDR5,PRKCQ
FMNL3,CDK6
CHST11,WAC
POFUT2,NLGN4X
CHD7,CASC10
UBC,YPEL1
PITPNB,STMN4
PTPRN2,DNAJC1
CHGA,WDR37
GNG12,NBPF1
FOXE3,RUNX1
PELI2,PITRM1
TLE3,NEK10
TRIB1,ATP11C
PXYLP1,CUL2
TM9SF2,GPR158
ARFGEF2,ATXN7
GRID1,ABI1
NBPF1,SERPINA1
KSR1,TIMP1
SEMA6A,FHL3
CFAP52,ATP5C1
OAS3,OTUD1
SALL1,IPO8
STX18,VSIG4
TNR,RSU1
SOX2,IDI1
SRCIN1,RPP38
PRICKLE2,SARDH
DLG5,ANKRD9
TBC1D16,SPANXN5
S100A3,OR52N2
OMP,ZNF154
TLN2,ACBD7
PHC2,KIAA1217
ATXN1,HRCT1
SEMA4D,RSPH6A
ZFP36L2,SEL1L3
ZFYVE21,RBP3
KIF26A,APBA2
BAHCC1,SLC22A18AS
