PromEnh,PromOnly
PRPF18,NETO1
HS3ST1,LYZL1
LARGE,TECRL
CD83,GHR
GSDMC,LRRTM4
RYBP,SLC5A8
CTGF,SALL3
EDAR,THRB
COPEB,DTNA
ETV6,SPARCL1
ATP10A,GABRA5
CBLB,KIR3DL1
PELI2,KRTAP4-4
XYLT1,OPRM1
SORL1,SULF1
NRIP1,KRTAP4-7
EPHA4,KRTAP3-2
SOX4,GPM6B
FRMD4A,REP15
ZNF608,SSX7
VAV3,RFPL4AL1
PRUNE2,TEK
MYC,SOX3
ST6GALNAC3,C7
PTPRJ,CCDC172
RFTN1,PABPC3
DUSP10,RGS22
ADAM7,GUCA1C
POU5F1B,OR2L13
PXDN,NNMT
UST,SYT1
PAG1,KRTAP4-3
MED13L,ADAMTS18
TMEM18,FRMPD2
ZSWIM6,STC1
RHOBTB1,TAC1
PHLPP1,MLIP
ST18,NPS
TNFAIP3,ROBO2
GLI3,MTRNR2L5
CLNK,CSNK2A3
PCDH9,ATP1B4
POMP,VSTM2A
SDK2,AADAT
STT3B,MTNR1A
OGFRL1,ADCY2
THRB,LAMP5
DEPDC1B,C2orf80
RUNX1,RETNLB
VRK1,LECT1
MACROD2,GDNF
PPFIBP1,GABRB3
ZNF311,FILIP1
PIGPC1,SLITRK2
MYB,MYO1B
SYN3,CGREF1
PDE4D,CTTN
IKZF2,KIR3DL2
SPRY2,CYP7A1
ASAP1,APCS
TBC1D5,SLC16A9
C3orf67,AGTR2
JARID2,SMLR1
LYZL2,PDE1C
TIMP3,MYO18B
FOXN3,ZNF728
TIGIT,SLN
ATP2B1,GRM5
TMEM170B,SLC10A2
MYOM2,BRINP3
MKLN1,MMP2
RFK,KRTAP7-1
BCL2L11,TCHH
SGK223,UTS2
TBC1D9,L1TD1
SPSB1,PTPRR
LGMN,TMPRSS11B
SATB1,PLPPR5
AKR1E2,ADAMTS3
TRIB1,KRTAP1-1
GCNT1,RXFP1
UBE2E2,HCRTR2
CD200,SERPINI1
C6ORF37,LARGE
PLXNC1,OR6A2
RUNX2,PARM1
GMPR,CEP112
CLVS1,DPP6
HIVEP1,ADGRG7
MORC3,CUBN
CRIM1,OR51B4
INHBA,HNRNPCL2
COG6,PTPRZ1
SNX9,SNAP91
SYNJ2,UGT2B17
SLC18A2,ASB18
ARRDC4,KIAA1324L
NAPG,LUZP2
ADARB1,MACROD2
CCDC182,SERPINB4
ZNF521,ADRA1A
AHR,CCT8L2
DPF3,PDE4D
ZFHX3,VSTM2B
APCDD1,KRTAP9-9
LRRC16A,GNG12
DAB2IP,ZNF99
BARX2,CSRP3
EDEM1,CLEC14A
ZDHHC14,CAPN8
MTCL1,CRX
ERICH1,TKTL2
ZFP36L1,ARPP21
DOCK10,KRTAP9-2
SLC24A2,TMEM212
LDLRAD4,KRTAP9-3
PSA1,OTX2
ARID1B,TOPAZ1
TBL1XR1,KCNJ16
TLN2,TXNDC2
NBPF1,ABCB11
RAPGEF5,SLC26A7
FAM19A5,TMPRSS11F
PTPRD,DEFB134
TOX,DEFB116
BTG1,NXN
L3MBTL4,DHRS9
CD180,KLHL1
AGO2,CDH19
FUT8,FAM24A
DKK1,LGALS16
TXNDC2,LAMA4
ARRDC3,PCDHB12
ATP6V1C1,EPHA5
TNS3,MAST4
FAM49A,CSN3
ESRRG,KLHL29
CNDP1,CNTN6
MSX2,PLCB4
ARHGAP8,PALLD
LPIN1,PAK3
NETO1,CYLC2
SOX9,TNNI3K
SIPA1L1,CLDN8
KLHL29,HAO2
FBXW7,TMEM72
COBL,ST6GALNAC3
NOX3,OSBPL1A
SPRY1,MORC1
MKI67,MTRNR2L7
AKAP13,RAG1
EXT1,ADGRF5
SRRM1,RUNX1T1
TCRA,SPACA3
CDH13,IRS4
AP1S3,ZNF812
KMT2E,TYRP1
POLR2M,ANKRD30A
SCML4,MAPK10
SDK1,MROH7
MEF2C,FAM47C
SLC38A11,LDLRAD4
ANO3,ANGPT1
