PromEnh,PromOnly
LPP,PPCDC
UST,LEFTY2
XYLT1,IL21R
BACH2,IL4R
SYK,AFF3
EBF1,LGALS14
TRIB1,KIAA0226L
CD83,PIK3R5
SDK2,CORO2B
ID2,DDR2
COPEB,C1QTNF7
JAZF1,LST1
PARD3,ADGRE3
ZFP36L1,KCNJ3
SORL1,AOC3
ICOS,LYZ
ZNF608,HTR3A
RBMS1,HIF1A
FAM65B,LGI4
HGF,ITGB2
LYZL2,CEBPE
SGK223,CNKSR1
KCNMB2,CCL17
RUNX1,HLA-DPA1
ATXN1,CRACR2B
PTPRG,ABLIM1
CBLB,SCAMP5
LGMN,MS4A7
RFTN1,CACNA2D4
ADRBK2,BHLHA15
FAM105A,HOMER3
TGFBR2,AMPD1
CARD11,CCR6
SPRY2,LCN10
KIAA0922,SLA
MGAT5,PLEKHG1
MYC,FAM65B
PRKCE,KLRK1
CADM1,HAMP
IRF8,ADAMDEC1
SWAP70,WNT5A
MTHFD1L,DEFB129
RFC3,NOL3
NSUN7,FBXO40
LARGE,CTHRC1
PRPF18,TMEM105
TM9SF2,PRR5L
DKK1,PI16
LPIN1,SORT1
LCLAT1,ELF4
POU5F1B,SCNN1B
ARHGAP42,LINGO3
DUSP10,GNB3
UTRN,SESN3
ARHGAP18,SPERT
EDAR,GNAI2
VAV3,NCR3
SCML4,LCN6
HIVEP3,PKIG
DTNBP1,SATB1
BCL2L11,GRAP2
JARID2,ZNF366
C4orf45,CLEC12A
FOXN3,GSTM1
NRIP1,KRTAP4-2
PSD3,IRF8
PIGPC1,P2RY6
MORC3,ZNF667
PELI2,IRAK3
RYBP,MFSD6L
ANKRD55,ABHD2
ATP6V1C1,SEC16B
PRDM5,APBB1
SOX4,RASGRF1
ATP10A,IL2RA
TNS3,ARPP21
ST18,DAPK1
PIK3CD,PVRIG
PRDM1,GIMAP1
NID1,SPARC
SAMD12,EXOC3L4
RAPGEF2,RIMKLB
GMPR,LFNG
HIVEP2,LILRB2
MTMR12,SLC6A12
ATP2B1,MAGEC1
HDAC4,FOXP1
EFNA5,GPA33
ARHGAP24,SIGLEC10
EXT1,C1orf162
TIAM1,ZBED2
EDEM1,IL18RAP
NBPF1,BSND
AUTS2,TCF4
FGF23,BCL9L
PRICKLE2,ARHGEF38
GSDMC,PARVG
ALDH8A1,LILRA1
NAV2,ISLR
AFF3,CD248
MED13L,HLADRB1
PTPRJ,IL5RA
THUMPD2,SPATS2L
ASAP1,IL27
EDEM3,GAS2
ANAPC1,RGS22
GHSR,MPP7
APCDD1,IL22RA1
HLADRB3,CD226
FOXP1,GPRC5D
DAB2IP,TGIF1
ZNF516,FIBIN
CCND2,TAS1R3
SAMSN1,PHEX
MBP,VPREB1
HIF1A,FAM210A
C6ORF37,CMIP
PLGLB2,CD5
ARHGAP15,CD69
SLC7A11,CD151
TNFSF10,APOBEC4
LMX1B,KDM4D
LRRC16A,FXYD2
LYPD6B,PRDM5
ADARB2,SLC12A4
NAPG,CD82
TMEM170B,CLLU1
PMAIP1,KCNQ1
PIEZO2,SMTN
MACROD2,KANK1
ZNF365,NOTCH4
GUCA2B,C4orf45
BTG1,KRTAP4-11
INPP5A,C9orf129
ETV6,LRRN2
SIPA1L1,DBNDD2
MYO3B,HSF5
PRKCA,LRFN3
CALML4,LRRC18
FGF12,HRC
HS3ST1,P4HA2
CLNK,GH1
GNG12,SULT1A1
KIF16B,KRTAP5-3
DLEU7,CLDN14
PIK3R5,JMJD7-PLA2G4B
ZEB2,EPB41L1
WDFY4,RNF223
VPREB1,KIAA1217
C10orf131,MUC15
PIK3R6,PAK7
GEMIN6,TCL1A
TIGAR,NCR2
SLC9A9,RNF186
HES1,LPAR5
WDFY2,CALML4
MERTK,SDK2
COG6,GRIA1
MLLT3,HSH2D
TOX,OBSCN
RND3,CPXCR1
CTGF,ITGA8
RBM20,GPR82
KLF4,CD1C
POMP,NXPE4
TNFAIP3,MIA
CHMP6,ELOVL5
TRIO,ELF3
PRKCH,IGF1
KHDRBS2,SORBS1
TMEM121,NWD1
PTPRC,DLEU7
ADGRL2,HOXD8
REL,SYNE1
BANP,ZNF92
AGO2,ZNF382
LHFPL2,WDFY4
FAM129A,MRAS
BANK1,ADGRE2
HLA-DRB1,HTRA4
ARHGEF38,ZFP14
SRBD1,ASB2
CLLU1,ZNF471
KANK1,CD1E
OGFRL1,SNX10
INSR,FAM107B
RAB11A,SEPT9
PHLPP1,GALR2
LBH,NOXO1
SNX9,XCR1
CSTF2T,DIO2
MEX3C,TRPC5
LY86,ZBTB38
CSF2RA,TSPAN32
BRD3,EPHA6
ROR2,TSPAN1
MARCH1,CASS4
GADD45G,DTX3
POLR2M,ERICH4
IFNGR1,B3GNT9
ST6GALNAC3,ABI3
FNDC3B,SIRPB2
HS3ST3B1,CSGALNACT1
REV1,LCP2
EFCAB1,TRPM2
EQTN,C1orf216
FNIP2,HLA-DQA1
SMOC1,LILRB4
HLADRB1,HLA-DRB1
ZFHX3,SLCO4A1
ARHGAP23,CXXC4
COG7,CLC
MAPK10,C15orf52
WNT5A,PDZK1IP1
SYNJ2,BIVM-ERCC5
PRUNE2,CDH18
MKLN1,CD22
LCMT1,ANXA9
IGLL5,CSDC2
ARRDC3,BASP1
TVP23A,SMG6
DDI1,GRM5
PLXNC1,CTNNA3
TP53BP2,FRZB
MYB,QPRT
DPH3,PRICKLE2
PUDP,FOXP2
CA5A,SCIMP
ZCCHC7,HOGA1
FLT1,SORBS2
DIO3,SLC25A22
SGK1,GBP6
ZSWIM6,IL10
PAX5,SLC46A2
SNX19,SLC6A16
TBL1XR1,FAM167A
OXNAD1,LECT1
ADAM7,ATF3
BEND5,GLYATL2
LONRF2,CHD3
CLVS1,CD300LF
SOX2,FAM177B
TMEM18,NEFH
KCNH8,FGR
CLN8,NID1
SESN3,C21orf33
NAALADL2,SCML4
ACOXL,LILRB1
BOD1L1,CD72
SATB1,NINJ2
ACSL1,CD1A
PXDN,GYLTL1B
RXRA,ANGPT2
PDE4B,NETO1
DGKD,RBFOX2
GLI3,ESRRG
EDN2,PRDM14
MCTP2,DNAJA4
HLA-DQA1,RDH13
EGLN3,FAM26F
DPF3,GGT1
TCL1A,HSD11B1
MAX,GNGT2
GOLGA5,F8
GTDC1,TMEM150B
CXXC4,MYBPHL
MAN1A1,CPM
CNDP1,MNDA
ARL4C,FPR1
QKI,B4GALNT2
ZBED1,C11orf21
ANKRD33B,CPTP
CCKAR,FOXC2
VWC2,NINL
MYLIP,CCDC8
PREX1,RBM24
ABHD12B,LDHD
HMCN1,TC2N
RPAP3,DCHS1
RGS1,C21orf58
KMT2E,SIGLEC5
CDK17,PTPRC
BASP1,KRTAP4-12
PPIE,TUBA1A
PSA1,LIMA1
SLC39A10,WIPF3
ARHGAP22,TRIM55
STT3B,ETFB
TLE1,LMNA
TTC7B,GSN
SLC8A1,ALDH1A2
HLX,TRIM50
PLXNA1,NLGN4X
IL6ST,EBI3
FOXO1,PAPOLB
SNAPC1,COL11A1
FBXL14,VCAM1
FOXC1,CAPN6
UBE2Q2L,SLC10A4
SDK1,INPP5J
DTHD1,SPTBN2
FLVCR2,IQSEC3
INSL5,ZFP69B
MAD1L1,DCLK1
ZBTB38,ARHGAP22
BCAS1,ASCL2
PAG1,SALL3
IKZF2,C11orf85
RORA,EPHX2
TECTA,CCDC120
VCPKMT,SPOCD1
SSR3,HLADRB3
PELI1,RGS13
KIT,ZIC3
GNA12,CSF2RA
VRK1,DOK2
NBPF11,ZP3
ADRB2,PLCXD3
CCDC182,TESPA1
USP25,MAP7D2
DCLK1,SFN
THRB,SLC4A7
BCL6,CD6
MSI2,NMRK1
RPS6KA3,TMCC2
ARHGEF10,LIMS2
NCALD,USP6
DDR2,NDNF
EML6,FUT7
PLEKHG1,AKAP6
CPPED1,UBA5
MTCL1,ST3GAL6
DDX10,KLRG1
RAB11FIP4,FAM101B
NOTCH2,PLEKHG5
CIITA,ABAT
FAM49A,ALS2CR11
MAP3K7,SIPA1L1
PPFIBP1,NLGN2
OXCT2,OXCT2
NR3C1,LAMA2
MEF2C,KRT19
KIAA0226L,HORMAD1
MOB3B,BLK
MAN1C1,WDR49
DISC1,IGSF1
LAMA2,ANK3
TSHZ2,ERG
DPH5,MARCH1
S1PR1,SMAD3
RFK,CD1B
ARID1B,NEK10
DST,BANP
SEMA6D,GJA1
FAM49B,INHBE
IL12A,MMP9
SLC22A16,CFB
LGALSL,TNNT3
PDE4D,TTC24
MYO1E,RASSF8
KIAA0556,NADK2
PPCDC,CLEC4M
NDE1,LYPD6B
PPP3CA,CLEC2B
CCDC141,GPR88
OLIG3,LRRC4C
ZCCHC24,TTC39C
TOMM20,TXNDC5
ESR1,TMEM108
IRF2BP2,CD83
STARD13,IL1RAPL1
PPM1H,KCNG1
RBFOX2,ZNF385A
TCRA,SAMD4A
AAK1,TGIF2LX
INHBA,MYO5C
LMO4,CLEC4C
GCNT1,CLNK
BCL11A,TEAD2
ITPR1,TRIM71
SULF2,P2RY11
ACTBL2,PDE4A
COL19A1,HBD
LAMP5,GYG2
ELMO1,SLC12A8
PREP,PRCD
C5orf67,PIK3R1
ZDHHC22,RFX4
CLCN4,PHYHIP
MCF2L2,ZNF608
HLA-DQB1,USP49
TMEM135,TJP1
HSPA8,A2M
ARL4D,CCL3L3
SYT13,IFI27
TMEM163,NAALADL2
CRIM1,STXBP6
ANKRD50,CDYL
GTF3C1,DMPK
LRRC1,ADAMTSL4
ARRDC4,KLK10
IFNK,TYROBP
RAP1GAP2,COLCA2
TRIB2,LHX6
SNAI1,IL34
CAPZA2,KCNMB2
C2orf91,UTF1
NARS,COL21A1
SFMBT2,LIMS1
NR1D2,CLEC4A
ADARB1,CARD17
NUDT1,HRASLS2
LSM6,NBEA
PIK3R1,TBCEL
LRRN1,SIGLEC14
CMIP,COL4A6
FAM13A,KRT16
TNFRSF1B,FES
PRKCQ,DMRTA2
USP12,HHAT
GADL1,SGK223
NDFIP2,LY6K
FTSJ2,RBMS1
GMDS,SMOC1
ZNF311,ADGRG1
NRN1,TMTC1
MKI67,LCN8
TCF4,TPBG
LDHAL6B,NEFM
SFRS8,RAPGEF4
PRKCB,CFHR3
KLF3,MS4A14
ARHGAP8,TNKS1BP1
SMAD7,ENDOU
KIF13B,XRRA1
FBXW7,UGGT2
FAM117B,CLIC2
TCL1B,TRAT1
RAPH1,EYA2
ABL2,OLIG3
UBE2E2,CRTAM
IL22RA2,PTPRG
PLCL1,RGL3
TLE3,CCR10
GPR55,TMEM74
ATP5G2,IL12B
FRMD4A,RRAS2
GSAP,SPANXN5
ZBED2,EPX
TBC1D5,TMEM244
SOX11,KRT17
BNIP3,CHI3L2
CLINT1,PYGM
AKT3,COX7A1
CMTM7,RAG2
RRM1,NOD2
KCNJ3,MBP
TNKS,SH3KBP1
SYNE3,RCAN1
RNASEH2B,CDC42EP1
TRAF6,KYNU
POU3F3,VEPH1
MSX2,ACTA2
CHD6,C17orf99
CORO2B,NKX2-1
C15orf39,HOXD9
UVRAG,MAN2A2
CYBRD1,ASB9
ST3GAL1,SLC2A3
SOX9,GALR1
CD180,GLRX2
ABLIM1,HLA-DPB1
NUP160,MTRNR2L6
CYFIP2,BCAR1
COL14A1,CHST3
DEPDC1B,ZAR1
SYN3,SLC6A3
ST7,AIF1
COTL1,RUNX1T1
TMEM2,ATP5L2
RERE,LAMA3
ADGRE3,FAM24A
ANK3,ROS1
UBE2U,JUP
TAGAP,QRFP
CCNL1,MATK
SH3BP4,FBXO30
SEMA4D,SERP2
SC5D,HLA-DQA2
ESRRG,ARTN
PODXL,SMAD1
FAM167A,CCDC183
ZNF706,PDZRN3
SLC2A12,SYT5
LTBP1,ANGPTL6
ATF1,STARD13
SGMS1,FBLN2
CKLFSF7,TDGF1
C3orf67,SPIC
SLA,MANEAL
RAB1A,ASPH
TRPM1,METTL7B
FAM81A,UPP2
SETBP1,CHDH
STXBP6,PGAM2
BPTF,DENND4A
CLN6,NOX4
GOLGA6L2,RND3
SLC28A3,HEMGN
C5orf47,MYO6
RAPGEF4,SLC17A8
UGCG,PLEKHN1
MYO6,FOXD4
MC4R,BBOX1
NOL11,FAM110C
ITGB8,MYH10
SDC1,CREB3L3
PLEKHF2,PCDH18
PPARGC1A,AMICA1
SARAF,MACROD2
NR4A3,SLC6A9
ZPBP,PLPP2
ZNF281,SPTBN5
MYOM2,RBBP8NL
SHISA2,LURAP1L
HBS1L,NLRP14
SLC5A9,EDIL3
HIVEP1,RP13-147D17.3
SMAD1,TRIML2
SNX18,SYBU
TRIL,FREM1
MARCKS,ZFYVE28
SACM1L,PDZRN4
CPQ,PDE4D
IL21R,ZNF677
TMEM236,LGALS9
KLF13,PM20D1
SAMHD1,NFAM1
IL12B,CLIP4
RNF145,SLC36A3
CHAMP1,AGTR1
HLA-DRA,ITIH1
IL4R,FBXO39
PTK2,TSHZ2
ACBD3,PREPL
LEPROTL1,CCND2
MYO18B,UBE2QL1
GRAP2,TMEM52B
HMBOX1,ADARB2
TGFBR1,ZNF658
SH2D4A,PPBP
ARHGAP21,HOXA2
RAB44,HES1
BIK,DDX53
SEC16B,PLA2G5
MTSS1,C6orf222
KDM4C,POF1B
ZMIZ1,SPACA1
DAPK1,CYB5R3
SPSB1,HKR1
CD28,KCNA7
TIMP3,FBXO18
KLF9,C1QTNF3
GALNT10,ARHGAP27
FOXP2,KRTAP4-8
VDR,ABCA5
ADGRA3,GBX2
PLA2G10,VGLL4
EFNB2,HIST1H1A
UBASH3B,WNK2
ST3GAL6,C4orf26
SUSD1,NME2
FAM19A5,TEX19
MMP17,ZNF492
TMEM201,PIK3C2B
PRDM4,ZNF365
LMO7DN,NUMA1
BOLL,TMEM229B
RBM47,ANKRD60
AKR1E2,SLC11A2
CNTN5,PSCA
GAS7,CD19
CHST2,GLOD5
ZNF521,CACNA1H
WNT5B,ANXA2
DNAJC1,P2RY14
NRXN1,TSKU
IRS2,ROBO1
MVB12B,BOC
AKAP13,PTPRR
YES1,NKX2-6
NRP1,SSX1
ADTRP,DUSP15
SSBP2,SEMA4D
SPATA13,CHL1
CCDC71L,KLRF2
LRRC4,TRAF5
CACNA2D4,INPP5F
LGALS14,NCK2
ELOVL5,CX3CR1
RUNX2,PAK6
ITGA4,PACSIN2
CTLA4,MTRNR2L5
TMEM41A,GNA12
RNF144A,GRIN2A
PSMB7,CYP26C1
ZIC2,TEF
KL,ASPHD1
CD69,PTPN12
GNG2,CELSR1
IRAK3,DNAH17
EMB,KCNMB3
NTSR2,POU3F3
HMP19,KRT14
CHST10,HNRNPL
PTTG2,ZNF697
GDI2,PRSS21
NMUR1,FAM71D
CAMK1D,KRTAP4-7
SP8,ARHGAP24
TET2,SYNE2
ZDHHC14,EPHB6
GRB14,SOX5
LYRM7,PXN
IL2RA,KRTAP2-4
WNT16,ALDOB
DMRT2,MAGEB1
DEGS1,PRKACB
PRDM14,PTPN7
PDZRN3,NPAS3
C15orf53,SIGLEC6
SLC45A4,SMARCA1
DCUN1D1,MAG
CD82,GCSAML
TSSK1B,RNASE11
FMN1,MTMR11
MARC1,TEKT1
BAIAP2,PPEF2
RGMB,GFI1B
FNDC1,BANK1
RGCC,LAMB3
CYP2J2,PIK3C2A
RHOBTB1,EMILIN1
TLR2,CDKN1A
PSEN2,ELK3
UACA,TRIM77
AHR,ZNF98
ADGRL4,BPIFB2
LRRN2,PENK
ITGB2,TM7SF3
TESC,CNTN5
FKTN,COL22A1
NCOA2,SPOCK2
MAF,TP53I3
MPP7,ZNF516
ANO3,ARAP1
SPARC,SUV420H2
CALM1,AGAP3
FAM107B,MEPE
MAP3K4,TDRD10
CHD1,ADD3
PBX3,DNAH9
LRIG2,ATP1B4
GLI2,PPP1R17
NINJ2,CYFIP2
ZNF831,ABCG2
NRG3,FUT1
C21orf91,MPV17L
T,PLPPR2
ALP,CLEC17A
ATP8A1,TMEM158
ZFAT,FZD6
PRKACG,PPP1R12B
TMEM244,MYH11
FGF6,HOXA10
KIF20B,ZNF512B
SNX22,TMEM190
PAPOLG,KCNE1
CPN2,JDP2
CACNB2,SIGLEC15
C1orf21,TREML4
CALCR,GALNT8
CHL1,EYA1
HHLA2,FAM213A
RPTOR,AGPAT3
LEP,GAS1
DIP2C,FFAR1
EGR2,THRAP3
MACC1,PRR15L
PRKAG2,MIOX
IRX1,LDLR
PCDH9,IGF2
EPHA4,ZNF300
DEPTOR,RNH1
GINS2,PMEPA1
KATNAL1,OR7G2
CD44,UCN3
SCUBE1,L1TD1
SMO,SOX14
CRB2,MEF2C
SCAMP5,ALDH1L1
BMP8B,RUFY1
MIXL1,NRXN1
RASA2,RAC3
SLC30A1,ZNF214
PARP11,GYPC
TRMT11,POU5F1
RAPGEF5,FRMD3
FAM181B,STBD1
RALGAPA2,SYT1
FAM134B,TMC2
FMNL2,STC1
P2RY6,CEP112
TSPO,DLG3
IVNS1ABP,LGALSL
TXNL,GREB1L
PDZRN4,MOGAT2
COX4I1,FGF12
CAPN6,ANKRD24
BOD1,CDO1
SPRY1,CD244
ZFP36L2,HCK
USP24,ESPNL
AIM1,SAG
CPEB4,ASNS
NAP1L4,NAALAD2
SLC44A1,C2orf76
GAS6,C17orf104
RIN2,C2orf80
DENND3,CFH
KLHL14,DLGAP5
TECPR1,TRAF1
WNT11,C1orf64
GRAMD1C,EPS8L1
TBCEL,KIF1C
GPR20,AHSP
EDNRB,UGT2B17
CDC42,EFCAB3
MCC,SLC9A4
NAA20,CLRN3
SMURF2,SH3D19
ACVR2A,GNA15
C16orf72,EPHX1
GRAMD4,TAGLN
ST8SIA4,CALHM1
GSE1,LGALS16
NPAS3,BGLAP
PITRM1,AMER1
SPRED2,C14orf105
LYZ,MSMO1
CTSO,IFITM10
LRRC15,SLC16A12
COMTD1,ZIC2
EDN1,KCTD4
HK2,TFEC
C1QTNF7,POU6F2
