file,group,dataset
UCSD.H1.Bisulfite-Seq.methylC-seq_h1_r1a.wig.bw,1,1
UCSD.H1.Bisulfite-Seq.methylC-seq_h1_r1b.wig.bw,1,1
UCSD.H1.Bisulfite-Seq.methylC-seq_h1_r2a.wig.bw,1,1
UCSD.H1.Bisulfite-Seq.methylC-seq_h1_r2b.wig.bw,1,1
UCSD.H1.H3K27ac.LL313.bw,1,2
UCSD.H1.H3K27ac.SAK270.bw,1,2
UCSD.H1.H3K27me3.LL241.bw,1,3
UCSD.H1.H3K27me3.LL314.bw,1,3
UCSD.H1.H3K27me3.YL95.bw,1,3
UCSD.H1.H3K36me3.LL160.wig.bw,1,4
UCSD.H1.H3K36me3.LL220.wig.bw,1,4
UCSD.H1.H3K36me3.SAK70.wig.bw,1,4
UCSD.H1.H3K4me1.LL228.wig.bw,1,5
UCSD.H1.H3K4me1.LL311.wig.bw,1,5
UCSD.H1.H3K4me1.YL131.wig.bw,1,5
UCSD.H1.H3K4me3.LL227.wig.bw,1,6
UCSD.H1.H3K4me3.LL312.wig.bw,1,6
UCSD.H1.H3K4me3.SAK67.wig.bw,1,6
UCSD.H1.H3K9ac.LL240.wig.bw,1,7
UCSD.H1.H3K9ac.SAK68.wig.bw,1,7
UCSD.H1.H3K9me3.AK54.wig.bw,1,8
UCSD.H1.H3K9me3.LL218.wig.bw,1,8
UCSD.H1.H3K9me3.YL75.wig.bw,1,8
UCSD.H1.H3K9me3.YL77.wig.bw,1,8
UCSD.H1.Input.AK57.wig.bw,1,9
UCSD.H1.Input.DM219.wig.bw,1,9
UCSD.H1.Input.LL-H1-I1.wig.bw,1,9
UCSD.H1.Input.LL-H1-I2.wig.bw,1,9
UCSD.H1.Input.LLH1U.wig.bw,1,9
UCSD.H1.Input.YL154.wig.bw,1,9
UCSD.H1.Input.YL208.wig.bw,1,9
UCSD.H1.Input.YL262.wig.bw,1,9
UCSD.H1.Input.YL328.wig.bw,1,9
UCSD.H1_Derived_Mesenchymal_Stem_Cells.Bisulfite-Seq.methylC-seq_h1-msc_r1a.wig.bw,2,1
UCSD.H1_Derived_Mesenchymal_Stem_Cells.Bisulfite-Seq.methylC-seq_h1-msc_r2a.wig.bw,2,1
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K27ac.SK436.wig.bw,2,2
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K27ac.SK438.wig.bw,2,2
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K27me3.SK437.wig.bw,2,3
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K27me3.SK439.wig.bw,2,3
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K36me3.SK460.wig.bw,2,4
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K36me3.SK464.wig.bw,2,4
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K4me1.SK461.wig.bw,2,5
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K4me1.SK465.wig.bw,2,5
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K4me3.SK463.wig.bw,2,6
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K4me3.SK467.wig.bw,2,6
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K9ac.SK518.wig.bw,2,7
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K9ac.SK519.wig.bw,2,7
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K9me3.SK507.wig.bw,2,8
UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K9me3.SK508.wig.bw,2,8
UCSD.H1_Derived_Mesenchymal_Stem_Cells.Input.SK443.wig.bw,2,9
UCSD.H1_Derived_Mesenchymal_Stem_Cells.Input.SK444.wig.bw,2,9
