PromEnh,PromOnly
SOX9,FOXL1
PODXL,LIN28A
GLI2,HNF1B
PITPNB,PHLDB1
ZNF608,SPON2
GLI3,FBXO40
AGAP1,VRTN
ZMIZ1,TDGF1
DAB2IP,C1orf94
SOX4,LAMB1
HES1,USP44
BNC2,FAM65B
SH3BP4,GALNT8
CADM1,OTX2
MYC,CAPN2
RAP1GAP2,ASIC2
HDAC4,DDAH1
MN1,L1TD1
SIX2,LRRN4
BCOR,THY1
GADD45G,IGFBP7
SIX3,HLX
EFNA5,ANXA2R
CDH11,SALL2
CLUH,SYNC
MKLN1,DIRAS2
COPEB,NNMT
EXT1,LFNG
SOX11,FGF5
ZNF423,CTDSP1
JARID2,GPR19
TRIB1,ADGRG1
MGAT5,HOXB2
TLN2,MGLL
TNS3,NR2F2
RYBP,FOXH1
ARL4C,LTBP2
PTPRG,PEAR1
RAB12,MT2A
EFCAB1,FOXC2
SEMA4D,TRIM71
EGLN3,PLEKHG4
DTNBP1,ST3GAL1
NAV2,CDC42EP1
PBX1,TRPM3
ZFHX3,LSR
COBL,CXCL1
ZIC2,MYOF
WBSCR17,MXRA8
ID2,C1orf186
CNEP1R1,CLIP4
SIPA1L2,OXTR
NCOR2,MAMLD1
FOXN3,IL11
SVIL,AMICA1
ARID1B,PHC2
PLCXD1,SGK2
SDK1,ELF4
LARGE,TGFB1I1
PRPF18,PHLDA2
EDAR,GRHL2
FAM20C,PLD1
EPHA4,NT5E
TSPAN9,COL8A1
TRIO,RUNX2
FOXL1,PDPN
MEF2C,USP3
SORL1,WNT5A
NTM,BICC1
PPIF,ZIC3
ASAP1,ZNF703
GMPR,MICAL3
UST,STEAP2
PTPRD,GLIS1
PXDN,PLXND1
FAM124A,EPHX3
TTLL11,COL12A1
ATP10A,MT1E
CALM1,EVA1A
LRRC15,GCNT2
SNAI2,SIX1
RAB11FIP4,LRRTM4
PARD3,HOXC4
RXRA,SH2D5
CPN2,SHISA2
MAFB,ZNF436
GPR20,FXYD2
MYLIP,FLNC
FAM49A,ANKRD34A
ETV6,HOXA3
NTPCR,GLIS3
GRAMD4,MICALCL
PGBD5,ZSCAN10
WNT5A,TBX18
FAM105A,TBX15
ANKRD33B,KCNC3
CDH13,KIF12
FAM84B,ELFN2
PLXNA2,AHNAK
ZCCHC24,LRRN1
SRCIN1,NEK6
PDE10A,CECR2
SCARB1,HSPA12A
ARHGAP23,TNRC18
BHLHE22,PRICKLE1
SOX1,PRDM14
TEAD1,FGFR2
SHANK2,CAV1
ST3GAL1,IGSF9
OSR1,ARHGEF38
CERK,NANOG
FOXC2,CDKN2A
PPM1H,ITPRIPL2
CDH4,ZBED6CL
DAP,AMIGO2
HIVEP3,ADAMTS5
BEND7,SFXN3
STK39,GSN
TGFB2,KRT80
PCCA,DPF3
ZFP36L1,PPARG
ARHGAP29,FGF13
SULF2,ZEB2
ZNF521,HOXC6
KCNJ6,HLA-DOA
SDK2,LDB2
PRMT8,ARHGAP29
FOXC1,BNC1
PTPRJ,ANKRD1
TSPAN18,LECT1
SYNM,LIF
MBL2,HTR1D
CPPED1,SLC15A2
CDC42EP4,CARP
GNG12,S100A2
ZNF516,MAD2L2
TENM4,EVA1B
KLHL29,CA14
POLR3A,ELMSAN1
ROR1,SFRP2
RASA3,DRAXIN
HLX,KAI1
COL5A1,KCNH8
WDR5,BHLHE40
UBE2U,SHC4
TRABD2B,VGLL4
PHC2,NR3C1
QKI,HES3
APCDD1,JUN
NMUR1,CADPS
NRP1,PCED1B
GLIS1,GPM6B
BRD3,TGFB2
UNC5D,CYS1
KIT,GDF3
SYT13,GADD45B
MSI2,MCC
SHISA9,CLCF1
ZDHHC22,TMEM217
C2orf57,PMP22
DENND3,CYP1B1
EFNB2,C1orf210
SHB,RUNX1T1
ARHGAP8,SYNPO2
CREB5,COL1A1
POU3F3,MAGI2
PTPRM,CHN1
KAI1,ISPD
SHISA2,KCNIP3
ALPK2,AP1M2
LINGO1,NTM
GAS6,KIFC3
SLC10A2,LDHD
PRICKLE2,TAGLN2
RPS24,EPS8L2
EDN1,NRK
MTCL1,SMARCD3
SMYD2,NRXN1
MAGI1,TUBB3
STT3B,CAV2
GSE1,ZBED2
DUSP1,GPRC5C
SMAD7,NRP1
SPRED2,DYSF
MICALCL,ANK1
MRPS9,TM4SF1
PHF21B,LOX
SPSB1,NFIC
TBL1XR1,GREB1
PTPN14,SGMS2
