name,source
ABCG2,marker genes
ASCL1,marker genes
BMI1,marker genes
CD133,marker genes
CXCR4,marker genes
FOXA2,marker genes
FOXO1,marker genes
FZD9,marker genes
GAP43,marker genes
GFAP,marker genes
GLUT1,marker genes
HES1,marker genes
MAP2,marker genes
MSI1,marker genes
NES,marker genes
NEUROD1,marker genes
NFIX,marker genes
NOTCH1,marker genes
NTN1,marker genes
OTX2,marker genes
PAX3,marker genes
PAX5,marker genes
PAX6,marker genes
PAX7,marker genes
PAX8,marker genes
S100B,marker genes
SMARCA4,marker genes
SOX1,marker genes
SOX11,marker genes
SOX2,marker genes
SOX3,marker genes
SOX4,marker genes
SOX9,marker genes
SYP,marker genes
TCF12,marker genes
VIM,marker genes
