file,group,dataset
GSM675542_UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Bisulfite-Seq.methylC-seq_h1-npc_r1a.bw,1,1
GSM675543_UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Bisulfite-Seq.methylC-seq_h1-npc_r1b.bw,1,1
GSM675544_UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Bisulfite-Seq.methylC-seq_h1-npc_r1c.bw,1,1
GSM675545_UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Bisulfite-Seq.methylC-seq_h1-npc_r2a.bw,1,1
GSM675546_UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Bisulfite-Seq.methylC-seq_h1-npc_r2b.bw,1,1
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27ac.AK220.bw,1,2
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27ac.AK319.bw,1,2
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27ac.AK408.bw,1,2
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27me3.AK221.bw,1,3
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27me3.AK320.bw,1,3
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27me3.AK409.bw,1,3
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K36me3.AK202.wig.bw,1,4
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K36me3.AK241.wig.bw,1,4
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K36me3.CY23.wig.bw,1,4
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me1.AK198.wig.bw,1,5
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me1.AK242.wig.bw,1,5
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me1.CY25.wig.bw,1,5
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me3.AK199.wig.bw,1,6
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me3.AK243.wig.bw,1,6
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me3.CY26.wig.bw,1,6
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K9ac.AK263.wig.bw,1,7
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K9me3.AK200.wig.bw,1,8
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K9me3.AK244.wig.bw,1,8
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K9me3.CY27.wig.bw,1,8
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Input.AK222.wig.bw,1,9
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Input.AK407.wig.bw,1,9
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Input.SK459.wig.bw,1,9
UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Input.SK506.wig.bw,1,9
GSM429321_UCSD.H1.Bisulfite-Seq.methylC-seq_h1_r2a.bw,2,1
GSM429322_UCSD.H1.Bisulfite-Seq.methylC-seq_h1_r2b.bw,2,1
GSM432685_UCSD.H1.Bisulfite-Seq.methylC-seq_h1_r1a.bw,2,1
GSM432686_UCSD.H1.Bisulfite-Seq.methylC-seq_h1_r1b.bw,2,1
UCSD.H1.H3K27ac.LL313.bw,2,2
UCSD.H1.H3K27ac.SAK270.bw,2,2
UCSD.H1.H3K27me3.LL241.bw,2,3
UCSD.H1.H3K27me3.LL314.bw,2,3
UCSD.H1.H3K27me3.YL95.bw,2,3
UCSD.H1.H3K36me3.LL160.wig.bw,2,4
UCSD.H1.H3K36me3.LL220.wig.bw,2,4
UCSD.H1.H3K36me3.SAK70.wig.bw,2,4
UCSD.H1.H3K4me1.LL228.wig.bw,2,5
UCSD.H1.H3K4me1.LL311.wig.bw,2,5
UCSD.H1.H3K4me1.YL131.wig.bw,2,5
UCSD.H1.H3K4me3.LL227.wig.bw,2,6
UCSD.H1.H3K4me3.LL312.wig.bw,2,6
UCSD.H1.H3K4me3.SAK67.wig.bw,2,6
UCSD.H1.H3K9ac.LL240.wig.bw,2,7
UCSD.H1.H3K9ac.SAK68.wig.bw,2,7
UCSD.H1.H3K9me3.AK54.wig.bw,2,8
UCSD.H1.H3K9me3.LL218.wig.bw,2,8
UCSD.H1.H3K9me3.YL75.wig.bw,2,8
UCSD.H1.H3K9me3.YL77.wig.bw,2,8
UCSD.H1.Input.AK57.wig.bw,2,9
UCSD.H1.Input.DM219.wig.bw,2,9
UCSD.H1.Input.LL-H1-I1.wig.bw,2,9
UCSD.H1.Input.LL-H1-I2.wig.bw,2,9
UCSD.H1.Input.LLH1U.wig.bw,2,9
UCSD.H1.Input.YL154.wig.bw,2,9
UCSD.H1.Input.YL208.wig.bw,2,9
UCSD.H1.Input.YL262.wig.bw,2,9
UCSD.H1.Input.YL328.wig.bw,2,9
