PromEnh,PromOnly
SOX4,ANKRD6
SOX9,RGR
ZNF608,TMCC3
XYLT1,FBXO40
GLI3,RRAS2
BNC2,SYNPO2
GLI2,MYLK
PITPNB,NADK
ZFHX3,FOXH1
PODXL,LIM2
EFNA5,KLHDC8A
CDH11,FOXN3
EXT1,POU5F1
PPM1H,ZBED6CL
DAB2IP,TDGF1
HES1,C1orf105
DLK1,WDR49
COBL,PLPP2
FOXN3,FAM181A
JARID2,ME3
PTPRG,RAB17
ZFP36L1,EGFL8
HDAC4,MKRN3
SOX11,CD19
MYC,MYH7
EGLN3,KIAA0319L
IRS2,ADGRG1
WBSCR17,MFAP3L
CADM1,FAM102A
FAM84B,MUSTN1
TLN2,GALP
SIX3,JADE2
ADAMTS9,APLP1
UST,DLK1
FGF3,F11
ARL4C,TM4SF18
TNS3,ZNF280A
FAM124A,GDF3
PSMB7,LMO3
RYBP,ZNF649
MN1,ZNF296
ZMIZ1,ZFAND6
APBA2,NEK6
ADGRL2,ESRP1
ZDHHC22,SMARCA2
TMEM161B,DCT
UNC5D,L1TD1
MSI2,RABGAP1L
CRB2,KDM6B
MKLN1,AKAP6
CLYBL,ZNF436
ZNF521,SOX5
SDK2,RUNX1T1
LARGE,MSGN1
ID2,ANKRD28
ZIC2,GALNT3
FOXO1,SPEM1
ZFP36L2,CLDN9
ARHGAP42,PRTG
SEMA6A,TAGLN3
AGAP1,AADACL3
SOX1,SYNPO
ARHGAP8,GALNT8
RERE,TACSTD1
DNAJB6,C14orf80
TFB1M,ZNF578
SH3BP4,FAM222A
SORL1,CDH4
JAG1,HES5
TSPAN18,CCDC172
ZNF423,CDH9
ZNF516,THEM4
SYNDIG1,SPATS2L
ZNF536,ABCA4
ARID1B,GSE1
HS3ST4,CACNA2D4
PRDM11,SC5D
RPS24,TDRP
WSCD1,RBM47
PSA1,MYBPHL
TP53I11,MTA3
KIT,MAP1A
LRIG1,ISPD
NTM,RBPMS2
FOXB1,NPIPB9
SVIL,RLBP1
TLE1,HRCT1
FAM19A5,ASPDH
CCDC182,PPM1H
