PromEnh,PromOnly
SOX9,SEC61G
DAB2IP,EGFR
HDAC4,KLRC2
APBA2,LANCL2
CCDC182,PHACTR3
RXRA,KLRC3
SORL1,MTRNR2L5
ZNF608,MAPT
GLI2,SHROOM3
ZMIZ1,CCNY
SH3BP4,PCDH15
AGAP1,HEATR4
DIP2C,NPPA
QKI,TP73
HIVEP3,XAF1
ZCCHC24,BST2
AFAP1,HPD
GRAMD4,KIR3DL2
ETV6,AQP12A
CALM1,EYS
XYLT1,STMN4
EDAR,CELF3
PODXL,MARCH9
MYO18A,SOX10
FAM105A,PRKG2
NCOR2,AKR1C3
FOXN3,PLA2G5
GINS2,CSMD3
ZFHX3,AGAP2
NCAM1,CDK4
DISC1,TRIM34
TRIL,CHRNA9
BRD3,LARP4B
MSI2,TMEM246
EGFR,POTEF
CRB2,LYZL1
GUCA2B,RGS6
SREBF1,TRPM3
GSE1,L1CAM
PPIF,ART3
COBL,VOPP1
CLVS1,DUSP26
RALGAPA2,CDKN2A
FANCI,OCIAD2
TNS3,HSPA14
CHST11,ZNF560
ZDHHC22,PTP4A3
ZFP36L2,COL20A1
GADD45G,RIMS2
LHFPL2,DEDD2
ID2,NETO1
TTC7B,CYP4A11
ZFP36L1,DLGAP1
LRRC4,MYT1L
IQSEC1,STON2
ASAP1,CDNF
SCARB1,SLC18A3
TLN2,MYT1
PUM1,BTBD19
LRIG1,SRY
LEP,LTF
LMX1B,BAMBI
UBC,UCMA
PRKCA,TAGLN
MGAT5,TBX5
SPECC1,KCND2
SYNDIG1,EPS8L2
NAV2,PHKG1
RERE,PDLIM4
CHMP6,CA10
PRICKLE2,NLRP7
UST,SLC6A16
PLXNA1,TSPAN11
ZSWIM6,METTL1
POLG,DNAH14
SH3PXD2B,ACSS3
MYC,SLCO5A1
EDN2,LIMS2
ZNF423,CCDC8
FMNL2,GPR17
JAZF1,CCR1
LAMC3,RPS4Y
PRKCE,LCE1D
PRPF18,EYA1
NTM,ST8SIA3
TMEM163,C5orf38
CDC42EP4,MEOX2
PLCG2,GPR158
INPP5A,CDKN2B
ARC,SAS
MVB12B,RSPH6A
PLXNA4,WIPF3
ARHGEF10L,TIE1
TRIB1,TMSB4Y
NDRG1,SBNO2
PREX1,MFAP2
ZHX2,HEPH
ADAM12,SLC16A7
TSPAN9,TPM4
FOXO6,CFHR3
SGSM3,STAM
PGBD5,AQP1
CERK,USP9Y
IRF2BP2,GAD2
BOD1,INPP4B
PSMB7,ESR2
PHC2,METTL21B
CHAMP1,MYPN
UGGT1,OAS2
CMIP,GBAS
AATF,OSBPL3
NAPG,RHCE
LDLRAD4,CTDSP2
AIP,FUT9
MKLN1,CXCL14
BACH2,NWD1
TFB1M,NNMT
GALNT2,ZNF296
KLHL29,LANCL3
SULF2,EMP3
ADRM1,PLCH2
SEMA6A,CHAT
RAI1,AXL
PINX1,GPR162
LACTBL1,KLHL32
SLC25A51,FGF1
CRYBA4,PRDM1
APCDD1,SAA2-SAA4
SACM1L,EVI5L
TIAM1,MTMR7
CASZ1,GDF15
HES1,OR2L13
PPM1H,MARCH1
SLC24A3,PCDH7
RAB11FIP4,UTY
SPOCK1,RNF144A
C20orf24,HIF3A
PXYLP1,HSPA2
PSTPIP2,PLEKHF1
PSMG4,FZD7
LPP,WNK3
CD180,PHYHIPL
BAIAP2,TSFM
C8orf33,ADARB2
C11orf58,ATP2B2
TANC1,LIMK1
PLXNA2,LRRC20
UMPS,CD151
HAAO,ARSJ
SMAD7,PLS3
TRIO,DCT
IRS2,AMOTL2
RABL2B,PABPC5
SLC22A23,SLITRK1
RPS24,FERMT1
LCMT1,DDX3Y
TAMM41,FLJ11000
SNAI1,ADM
KDM4B,TRIM22
KCNK9,CARD16
TLE3,PSG9
KANK1,FES
SERINC5,EGF
MCF2L,ARAP3
GAB2,NUDT5
PSD3,SNAP91
MRPS27,RNF165
TCF7,MLIP
C12orf45,MAGEB10
RRP7A,CSF1R
MAP4K4,CHI3L1
BCOR,PAMR1
KNS2,IFITM1
ANKRD10,TRIM5
CACNG5,HRH1
PTCD2,CDC123
ST3GAL5,GABRB3
EEPD1,SPG20
KIF26A,ERBB2
ACAP2,ACOX2
NR1D2,CACNB2
ANKRD11,SET
RNF144A,PINLYP
KSR1,PLPPR1
DNMT3A,CACNA1E
ZNF484,IRX2
WSB1,MZF1
CHGA,SPHKAP
ZEB2,MTRNR2L6
CCNL1,ZNF217
GLIS3,CATSPERB
KLF4,PPP1R13L
AMPD1,CELA2B
HMGCS2,C19orf66
EGLN3,CELF2
RHOB,RTP5
RHCG,ZBED6CL
ANGPTL2,NET1
ARFGEF2,RGR
ARHGAP8,DLC1
OTULIN,DPP4
IGSF21,PRTFDC1
SCD5,PSG8
LINGO1,CYB5R2
LRRC75A,ZNF716
SYNE3,FKBP9
AGO2,C6
TIMP2,ZEB1
GNG12,EPHB1
WNT7B,MTTP
PARD6B,SLC1A6
OXER1,TC2N
STK24,FAM107B
SPSB1,PSORS1C1
NFIA,TUB
SIPA1L2,HMX1
ATOH8,KY
NT5DC3,SERPINE1
WISP2,RIMS1
TGM3,HNRNPCL2
TBC1D22A,PTGS1
PSAPL1,ATXN7
RIC1,WNK2
WDR5,TACR1
FBLN2,TPH1
SYT13,AEBP1
MAML2,PTPRH
RPLP1,LTB4R
CACNG4,FBXO17
TMEM63C,PAX6
SRCIN1,FGF13
TESC,STH
VIMP,OR51E2
ZSCAN20,GALR1
ARL4C,HILPDA
SHANK2,TUBAL3
DSCAML1,HS3ST3A1
TTLL11,PRPF18
POU3F3,HMP19
YWHAH,PIRT
GPR137B,CHADL
FMNL1,UPF2
TNPO1,HOPX
ANKRD33B,ABCA6
MOCS2,GRID2
MTFR1L,FAM71D
OGFOD1,UBE2M
SKI,C1orf94
C1orf95,SLC22A18AS
METTL10,GSDMD
PITPNB,PDCD1LG2
UBASH3B,MICU1
MRPS23,LRRTM4
CHSY1,MFSD7
CDH1,TEX19
IL12A,CTNNA2
SKP1A,LGALS3
RGL1,PPFIA2
CADM1,DSCAM
UACA,OSF
C16orf74,C4orf51
SLC41A2,C1orf100
GPRC5B,CIDEB
ARHGAP23,VSTM2A
GH1,YAP1
ZFPM1,CBLN3
DLK1,SLC22A18
TNP1,SAA1
AFAP1L2,BRINP3
CKAP4,SFTPA1
KLF9,CADM3
PPP1R15B,TRIM6
OXNAD1,RAPGEF4
RAP1GAP2,KCNIP3
MKI67,ADGRG1
KNSTRN,NPEPL1
ARL4D,SCN3A
ARHGEF16,LTB4R2
RPS6KA2,EHD2
ALK,KHNYN
FAM20C,CD3EAP
GPR20,CPXCR1
VAPA,AGTR2
KBTBD11,CNTN1
BOC,IFI27
DOCK10,B4GALNT1
POLR3A,CLEC12B
PCBP2,CCDC27
TBL1XR1,AGMO
CELSR2,KIAA1462
RAPGEF1,CD44
NCK2,CRACR2B
CCT7,RUNX1
LMF1,CRX
CACNG1,ADGRE5
OAT,LENG8
CD34,IGFL2
SHB,FGF12
SLC7A1,TAF3
KCNC4,HOXB3
THADA,FUT2
KCNE4,CASKIN2
BCL2L11,LENG9
TENM4,ABAT
HS1BP3,GSTM1
FAM78A,PSG6
SLC6A6,KCNJ9
NDE1,AHRR
CTIF,FLVCR2
POGZ,BBC3
SOX2,DGKI
C16orf72,MEIG1
USP43,S100A13
MFSD4,GRM5
CACNA1C,CHCHD2
TUBB2B,ATP5C1
C3orf14,MAGEA4
RYBP,TENM3
KREMEN1,OPCML
MYO10,WWP2
TMEM53,SUMF2
DSTYK,WAC
LYRM7,TARM1
ARHGEF3,FAM13C
DPH3,NEBL
TPCN2,GPD1
NDUFS5,IGFL3
PVRL1,ETV4
NPW,FAM135B
STX8,C3
PHF5A,NPNT
CPEB4,PRKCZ
ADARB1,HDAC9
PADI2,HRCT1
DHRS12,LRRTM1
PELI2,ABCA13
GALNT10,CELA2A
DLEU7,PLEKHA6
FAM175B,MYADM
SEMA4D,RAB34
NAA20,SRL
MAD1L1,FLRT1
TLE1,CKMT2
NFASC,ALLC
CFAP52,ORM2
