name,source
AKT1,marker genes
ALK,marker genes
ARID1B,marker genes
BRAF,marker genes
CTNNB1,marker genes
EGFR,marker genes
EIF1AX,marker genes
HRAS,marker genes
KMT2C,marker genes
KRAS,marker genes
NDUFA13,marker genes
NRAS,marker genes
PIK3CA,marker genes
PTEN,marker genes
TG,marker genes
TP53,marker genes
ZFHX3,marker genes
BRAF,anaplastic thyroid cancer (MalaCards)
NKX2-1,anaplastic thyroid cancer (MalaCards)
PAX8,anaplastic thyroid cancer (MalaCards)
RET,anaplastic thyroid cancer (MalaCards)
TG,anaplastic thyroid cancer (MalaCards)
BRAF,nonmedullary thyroid cancer 2 (MalaCards)
CALCA,nonmedullary thyroid cancer 2 (MalaCards)
HRAS,nonmedullary thyroid cancer 2 (MalaCards)
LGALS3,nonmedullary thyroid cancer 2 (MalaCards)
NKX2-1,nonmedullary thyroid cancer 2 (MalaCards)
NRAS,nonmedullary thyroid cancer 2 (MalaCards)
CALCA,familial medullary thyroid carcinoma (MalaCards)
NKX2-1,familial medullary thyroid carcinoma (MalaCards)
NTRK1,familial medullary thyroid carcinoma (MalaCards)
RET,familial medullary thyroid carcinoma (MalaCards)
TG,familial medullary thyroid carcinoma (MalaCards)
BRAF,nonmedullary thyroid cancer 1 (MalaCards)
CALCA,nonmedullary thyroid cancer 1 (MalaCards)
CCDC6,nonmedullary thyroid cancer 1 (MalaCards)
CDH1,nonmedullary thyroid cancer 1 (MalaCards)
FOXE1,nonmedullary thyroid cancer 1 (MalaCards)
HRAS,nonmedullary thyroid cancer 1 (MalaCards)
CALCA,thyroiditis (MalaCards)
RET,thyroiditis (MalaCards)
TG,thyroiditis (MalaCards)
TPO,thyroiditis (MalaCards)
TSHR,thyroiditis (MalaCards)
FOXE1,hypothyroidism (MalaCards)
NKX2-1,hypothyroidism (MalaCards)
PAX8,hypothyroidism (MalaCards)
SLC5A5,hypothyroidism (MalaCards)
TG,hypothyroidism (MalaCards)
TPO,hypothyroidism (MalaCards)
CALCA,thyroid sarcoma (MalaCards)
TG,thyroid sarcoma (MalaCards)
CALCA,goiter (MalaCards)
NKX2-1,goiter (MalaCards)
PAX8,goiter (MalaCards)
SLC5A5,goiter (MalaCards)
TG,goiter (MalaCards)
TPO,goiter (MalaCards)
BRAF,struma ovarii (MalaCards)
KRAS,struma ovarii (MalaCards)
NKX2-1,struma ovarii (MalaCards)
RET,struma ovarii (MalaCards)
TG,struma ovarii (MalaCards)
TSHR,struma ovarii (MalaCards)
TG,hyperthyroidism (MalaCards)
TPO,hyperthyroidism (MalaCards)
TSHR,hyperthyroidism (MalaCards)
TG,graves disease 1 (MalaCards)
TPO,graves disease 1 (MalaCards)
TSHR,graves disease 1 (MalaCards)
CALCA,endemic goiter (MalaCards)
TG,endemic goiter (MalaCards)
TPO,endemic goiter (MalaCards)
TSHR,endemic goiter (MalaCards)
NKX2-1,ovarian germ cell teratoma (MalaCards)
NRAS,ovarian germ cell teratoma (MalaCards)
RET,ovarian germ cell teratoma (MalaCards)
TG,ovarian germ cell teratoma (MalaCards)
CALCA,multinodular goiter (MalaCards)
HRAS,multinodular goiter (MalaCards)
NKX2-1,multinodular goiter (MalaCards)
PAX8,multinodular goiter (MalaCards)
TG,multinodular goiter (MalaCards)
TPO,multinodular goiter (MalaCards)
CALCA,hashimoto thyroiditis (MalaCards)
LGALS3,hashimoto thyroiditis (MalaCards)
RET,hashimoto thyroiditis (MalaCards)
TG,hashimoto thyroiditis (MalaCards)
TPO,hashimoto thyroiditis (MalaCards)
TSHR,hashimoto thyroiditis (MalaCards)
BRAF,nodular goiter (MalaCards)
CALCA,nodular goiter (MalaCards)
LGALS3,nodular goiter (MalaCards)
RET,nodular goiter (MalaCards)
TG,nodular goiter (MalaCards)
TPO,nodular goiter (MalaCards)
TG,subacute thyroiditis (MalaCards)
TPO,subacute thyroiditis (MalaCards)
TSHR,subacute thyroiditis (MalaCards)
TG,myxedema (MalaCards)
TPO,myxedema (MalaCards)
TSHR,myxedema (MalaCards)
CALCA,suppurative thyroiditis (MalaCards)
TG,suppurative thyroiditis (MalaCards)
HRAS,benign struma ovarii (MalaCards)
NRAS,benign struma ovarii (MalaCards)
RET,benign struma ovarii (MalaCards)
TG,benign struma ovarii (MalaCards)
TSHR,benign struma ovarii (MalaCards)
CALCA,cowden disease (MalaCards)
RET,cowden disease (MalaCards)
TG,cowden disease (MalaCards)
HRAS,malignant struma ovarii (MalaCards)
LGALS3,malignant struma ovarii (MalaCards)
NCOA4,malignant struma ovarii (MalaCards)
NKX2-1,malignant struma ovarii (MalaCards)
NRAS,malignant struma ovarii (MalaCards)
RET,malignant struma ovarii (MalaCards)
CALCA,nontoxic goiter (MalaCards)
TG,nontoxic goiter (MalaCards)
TPO,nontoxic goiter (MalaCards)
TSHR,nontoxic goiter (MalaCards)
BRAF,papillary carcinoma (MalaCards)
CALCA,papillary carcinoma (MalaCards)
CDH1,papillary carcinoma (MalaCards)
LGALS3,papillary carcinoma (MalaCards)
NCOA4,papillary carcinoma (MalaCards)
NKX2-1,papillary carcinoma (MalaCards)
CALCA,follicular adenoma (MalaCards)
LGALS3,follicular adenoma (MalaCards)
NKX2-1,follicular adenoma (MalaCards)
PAX8,follicular adenoma (MalaCards)
RET,follicular adenoma (MalaCards)
TG,follicular adenoma (MalaCards)
BRAF,differentiated thyroid carcinoma (MalaCards)
CCDC6,differentiated thyroid carcinoma (MalaCards)
FOXE1,differentiated thyroid carcinoma (MalaCards)
HRAS,differentiated thyroid carcinoma (MalaCards)
KRAS,differentiated thyroid carcinoma (MalaCards)
NCOA4,differentiated thyroid carcinoma (MalaCards)
