file,group,dataset
A56250.CEMT_87.H3K4me1.merged.A56250_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,1
A56251.CEMT_87.H3K4me3.hg19a.A56251_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,2
A56252.CEMT_87.H3K9me3.merged.A56252_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,3
A56253.CEMT_87.H3K27me3.merged.A56253_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,4
A56254.CEMT_87.H3K36me3.merged.A56254_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,5
A56255.CEMT_87.H3K27ac.169904.C8ATRANXX_6_TATAAT.q5.F1028.PET.wig.bw,1,6
A56256.CEMT_87.Input.169903.C8ATRANXX_5_TGCTGG.q5.F1028.PET.wig.bw,1,7
A66389.CEMT_91.H3K4me1.CABBTANXX_4_CCACGC.q5.F1028.PET.wig.bw,1,1
A66390.CEMT_91.H3K4me3.CABBTANXX_1_CTATAC.q5.F1028.PET.wig.bw,1,2
A66391.CEMT_91.H3K9me3.CABBTANXX_4_GCAAGG.q5.F1028.PET.wig.bw,1,3
A66392.CEMT_91.H3K27me3.CABBTANXX_4_TACAGC.q5.F1028.PET.wig.bw,1,4
A66395.CEMT_91.Input.CABBTANXX_5_TATAAT.q5.F1028.PET.wig.bw,1,7
A68896.CEMT_89.H3K4me1.hg19a.IX5125.CAVYBANXX_3_GATCAG.q5.F1028.PET.wig.bw,1,1
A68897.CEMT_89.H3K4me3.hg19a.IX5130.CAVYBANXX_8_TAGCTT.q5.F1028.PET.wig.bw,1,2
A68898.CEMT_89.H3K9me3.hg19a.IX5125.CAVYBANXX_3_GGCTAC.q5.F1028.PET.wig.bw,1,3
A68899.CEMT_89.H3K27me3.hg19a.IX5125.CAVYBANXX_3_CTTGTA.q5.F1028.PET.wig.bw,1,4
A68900.CEMT_89.H3K36me3.hg19a.IX5125.CAVYBANXX_3_AAACAT.q5.F1028.PET.wig.bw,1,5
A68901.CEMT_89.H3K27ac.hg19a.IX5130.CAVYBANXX_8_AAAGCA.q5.F1028.PET.wig.bw,1,6
A68902.CEMT_89.Input.hg19a.IX5126.CAVYBANXX_4_AAATGC.q5.F1028.PET.wig.bw,1,7
A68906.CEMT_91.H3K36me3.hg19a.IX5124.CAVYBANXX_2_ACTGAT.q5.F1028.PET.wig.bw,1,5
A68907.CEMT_91.H3K27ac.hg19a.IX5124.CAVYBANXX_2_AGAAGA.q5.F1028.PET.wig.bw,1,6
A56243.CEMT_86.H3K4me1.169900.C8ATRANXX_2_TACAGC.q5.F1028.PET.wig.bw,2,1
A56244.CEMT_86.H3K4me3.hg19a.A56244_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,2,2
A56245.CEMT_86.H3K9me3.merged.A56245_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,2,3
A56246.CEMT_86.H3K27me3.merged.A56246_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,2,4
A56247.CEMT_86.H3K36me3.merged.A56247_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,2,5
A56248.CEMT_86.H3K27ac.merged.A56248_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,2,6
A56249.CEMT_86.Input.169901.C8ATRANXX_3_ACGATA.q5.F1028.PET.wig.bw,2,7
A66368.CEMT_88.H3K4me1.CABBTANXX_2_ATCACG.q5.F1028.PET.wig.bw,2,1
A66369.CEMT_88.H3K4me3.CABBTANXX_1_GATCAG.q5.F1028.PET.wig.bw,2,2
A66370.CEMT_88.H3K9me3.CABBTANXX_2_AACCCC.q5.F1028.PET.wig.bw,2,3
A66371.CEMT_88.H3K27me3.CABBTANXX_2_ACCCAG.q5.F1028.PET.wig.bw,2,4
A66374.CEMT_88.Input.CABBTANXX_5_CCCATG.q5.F1028.PET.wig.bw,2,7
A66382.CEMT_90.H3K4me1.CABBTANXX_3_CGATGT.q5.F1028.PET.wig.bw,2,1
A66383.CEMT_90.H3K4me3.CABBTANXX_1_TAGCTT.q5.F1028.PET.wig.bw,2,2
A66384.CEMT_90.H3K9me3.CABBTANXX_3_AACTTG.q5.F1028.PET.wig.bw,2,3
A66385.CEMT_90.H3K27me3.CABBTANXX_3_ACCGGC.q5.F1028.PET.wig.bw,2,4
A66388.CEMT_90.Input.CABBTANXX_5_GCACTT.q5.F1028.PET.wig.bw,2,7
A68893.CEMT_88.H3K36me3.hg19a.IX5123.CAVYBANXX_1_ACAGTG.q5.F1028.PET.wig.bw,2,5
A68894.CEMT_88.H3K27ac.hg19a.IX5123.CAVYBANXX_1_GCCAAT.q5.F1028.PET.wig.bw,2,6
A68903.CEMT_90.H3K36me3.hg19a.IX5124.CAVYBANXX_2_AAGGAC.q5.F1028.PET.wig.bw,2,5
A68904.CEMT_90.H3K27ac.hg19a.IX5123.CAVYBANXX_1_AATAGG.q5.F1028.PET.wig.bw,2,6
A68924.CEMT_98.H3K4me1.hg19a.IX5127.CAVYBANXX_5_CCAACA.q5.F1028.PET.wig.bw,2,1
A68925.CEMT_98.H3K4me3.hg19a.IX5130.CAVYBANXX_8_CCACGC.q5.F1028.PET.wig.bw,2,2
A68926.CEMT_98.H3K9me3.hg19a.IX5127.CAVYBANXX_5_CCCATG.q5.F1028.PET.wig.bw,2,3
A68927.CEMT_98.H3K27me3.hg19a.IX5128.CAVYBANXX_6_GAGTGG.q5.F1028.PET.wig.bw,2,4
A68928.CEMT_98.H3K36me3.hg19a.IX5128.CAVYBANXX_6_CCGCAA.q5.F1028.PET.wig.bw,2,5
A68929.CEMT_98.H3K27ac.hg19a.IX5130.CAVYBANXX_8_CCTTAG.q5.F1028.PET.wig.bw,2,6
A68930.CEMT_98.Input.hg19a.IX5128.CAVYBANXX_6_CGAGAA.q5.F1028.PET.wig.bw,2,7
A36012.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36014.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36016.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A59695.CEMT_86.WGBS.merged.A59695_3_lanes_dupsFlagged.q5.5mC.CpG.fractional.bw,1,8
A59696.CEMT_87.WGBS.merged.A59696_3_lanes_dupsFlagged.q5.5mC.CpG.fractional.bw,2,8
