PromEnh,PromOnly
MED13L,PLA2G2E
DAB2IP,CSF2
CADM1,KLK11
EXT1,PTPRE
DTHD1,KLK6
ARRDC3,TGM1
MKLN1,SPTBN2
ZFPM2,SYT8
PSD3,KLK12
SIPA1L2,RASGRF1
GLI3,IGFL2
PPARGC1A,PPP1R1B
NRIP1,LIPI
SOX9,TMPRSS6
TRIB1,SLC22A31
CALM1,KLK10
SOX4,LPAR5
CBLB,CDKN1A
MREG,ACTBL2
TLN2,MYBPH
RUNX1,KRT15
ZNF608,RALGPS1
TLE1,RAG2
HDAC4,ABCA12
SEMA3D,ALDH3B2
UST,XKR4
AGAP1,KLK7
ZFHX3,KCNN4
ELMO1,PCDHGC5
COPEB,TRIM6
NDFIP2,AGR3
GLI2,MSLN
CDK5RAP2,MS4A7
TESC,MAPK4
TBC1D4,RAG1
BCL2L11,SYT12
GLIS3,LINGO1
MGAT5,PLA2G12B
NBPF1,EBI3
BNC2,RDH5
ADAMTS9,SERPINA1
ACTBL2,PRR32
ZMIZ1,LY6D
TNS3,KLK2
STT3B,RGS20
NAV2,SSTR3
CPQ,GALE
NTPCR,TUBB3
GALNT7,TMEM88B
TTC7B,GSDMA
ZFP36L1,GJB4
TBL1XR1,C1QTNF1
AHR,SLC22A18
TFB1M,FAM178B
RYBP,LOC81501
C8orf4,S100A12
MTMR12,AADAC
FOXN3,PDE4DIP
UTRN,PVRL4
TIAM1,GJB3
SPRY2,WDR49
ID2,ECM1
DTNBP1,TMC8
HES1,CDHR3
ATXN1,DAGLA
POU5F1B,DUSP13
EGLN3,HPN
RUNX2,DLGAP5
ST7,TMPRSS11F
ZNF536,PDZK1IP1
SLC1A1,TIAM2
XYLT1,SERPIND1
SGK223,NAT8L
OGFRL1,SLC51B
ZSWIM6,RAET1E
PRPF18,FOXP2
TSPYL5,PIK3C2G
KCNMB2,ZNF536
COBL,TULP4
ASAP1,SLC22A18AS
CBR4,PHYHIP
AKAP13,KCNN3
IRS2,LAMB3
BMP2,ABLIM2
CRB2,IVL
PPM1H,CHST4
PARD3,UNC5CL
SPOCK1,MICALCL
PHLPP1,SCGB3A2
ANKRD55,B3GNT3
GSDMC,LYNX1
TSPAN5,P2RY4
SETBP1,SOSTDC1
