PromEnh,PromOnly
SOX9,TAS2R43
HDAC4,GYPE
DAB2IP,DDX3Y
AFAP1,USP9Y
ZMIZ1,NCOR1
GLI2,UTY
PODXL,RMND5A
SORL1,SMR3B
DIP2C,TBL1Y
CALM1,LANCL2
SH3PXD2B,RPS4Y
NCOR2,LILRB3
RXRA,PTPRC
ZSWIM6,TGIF2LX
EDAR,TMSB4Y
NCAM1,RFPL4AL1
CCDC182,SRY
ZDHHC22,EPHA6
PPIF,TADA2A
ID2,IDE
MYO18A,AGTR2
APBA2,AHRR
QKI,ACACA
GRAMD4,ZFY
RERE,ARL13A
NTM,KLHL13
HIVEP3,FAM46D
PRKCA,CARD17
FOXN3,ADAMDEC1
AGAP1,CROCC
ZCCHC24,GLRA2
MGAT5,MALRD1
BRD3,CRHR1
GINS2,ZNF600
FANCI,TBC1D26
ZFP36L1,JAK3
MKLN1,CWF19L1
POLG,TRIM16L
SCARB1,TMEM238
PSMB7,THEG
MSI2,MICU1
LDLRAD4,GPR34
FAM105A,NFASC
COBL,RPS4Y2
CHMP6,IFNA2
SREBF1,CYLC1
MYC,CCDC146
SH3BP4,VSIG4
ZFHX3,ATAD1
GUCA2B,HNRNPL
UGGT1,RFX3
LMX1B,MGST1
HES1,CCDC159
XYLT1,USP9X
ZNF608,ACTRT1
ASAP1,R3HDM4
NAV2,CLEC4D
UST,DHFR
EDN2,MAN1A1
TTC7B,RNF126
MCF2L,FAM47A
PSAPL1,UGT2B10
FAM20C,B3GNT8
AGO2,TMPRSS11B
TRIL,KLHL26
PRPF18,CTDSP1
GSE1,TMEM205
CRB2,CD14
IRS2,A1CF
ZNF423,KDM5D
POLR3A,BTNL3
LRIG1,EMP3
ANGPTL2,EIF1AY
PRKCE,NIPBL
ADRM1,CLEC18B
GPR20,PLIN3
C1orf95,ARHGEF19
EGLN3,BIRC3
PELI2,IFNA13
IQSEC1,HSPA1L
TNS3,SARDH
CFAP52,IMMP2L
MVB12B,ARRDC2
RPS24,EGFR
PITPNB,HSPA1A
IRF2BP2,SPTA1
LEP,MTRNR2L8
BACH2,MAFK
SRCIN1,MGAT4A
CACNG4,ICAM1
ZFP36L2,KMT2C
LAYN,SYTL5
DPH3,BSG
ETV6,DCAF15
KNS2,ABHD17A
OXNAD1,ACTR3C
ZHX2,LRRN2
CLVS1,GATAD2A
LAMC3,TAGLN3
DSCAML1,CHAC1
JPH2,ANKS1B
MRPS27,WNK3
SULF2,FKBP8
JAZF1,IZUMO4
BAIAP2,TUBA3E
PHC2,FAM21A
PLXNA4,MYDGF
KY,ZFP36
DNMT3A,UBB
ADAMTS9,SERPINB4
CMIP,SEMA3D
DISC1,STX19
SACM1L,C17orf78
CHGA,TMPRSS11D
SCD5,SUZ12
PLCG2,TIP47
LRRC4,NLGN4Y
IL12A,SPANXD
CD34,NTS
EGFR,PDGFA
SDK2,PODNL1
LHFPL2,CNN2
KLHL25,PPP1R15B
PREX1,ABCG1
ZC3H12A,CPEB3
LINGO1,SLC16A7
CHST11,GLUD2
KLHL29,BCORL1
TMEM63C,GABRA3
TLE1,CYBB
PBX1,STX10
LACTBL1,VOPP1
GADD45G,RFX1
ZNF536,GPR153
GMPR,CEP57
FOXO6,ZNF57
KCNK9,IER2
ARHGAP23,DCAF8L2
ARHGEF10L,STON2
NAPG,MDM4
TAS2R19,RCCD1
RALGAPA2,ZNF808
SLC25A51,RGPD4
TRIB1,F9
PPM1H,DHRS12
RAI1,C8orf48
KIRREL,ASB11
ROR2,LPAR2
ATOH8,MLLT1
APCDD1,SLC35E2
CADM1,ANKLE1
RAP1GAP2,RUNX2
ATP6V1C1,POM121C
ARHGEF16,KRT17
DBH,WIZ
SHANK2,MAGED1
CNEP1R1,SAFB
GPRC5B,AGAP2
SYPL1,CPXCR1
SYNDIG1,ALG10
PLXNA2,FOSL1
DGKI,AZU1
SOX2,MSL3
INPP5A,AP3D1
UACA,POU3F4
PXYLP1,PDE4C
PSMG4,RLN2
GDF9,ILF3
PTPRN2,VMAC
TIGIT,RPL18A
KSR1,UHRF1
PXDN,SULT1E1
RYBP,MFSD12
POFUT2,FMR1NB
TMEM163,LARP4B
TFB1M,TMEM160
RAB36,RPS15
DPYSL2,SQRDL
VASN,EPHA3
TENM4,C10orf107
PTCD2,FGD1
SPECC1,IGF2BP2
PUM1,GIPC1
ARHGEF3,GPR173
CERK,RRAS
KLF9,TRAF3IP2
SEMA4D,TTLL10
CDC16,REEP5
GSDMC,NCOA4
FRRS1L,SAFB2
KLF13,GLRA3
CACNG5,GLA
ALDH1L2,C19orf25
NFIA,MEL
NRCAM,UBA1
HAAO,HMG20B
GZMH,CD24
OTULIN,IFNA17
IGHMBP2,JUNB
FMNL2,HAGHL
NFASC,RNASEH2A
SPOCK1,CDRT1
EEPD1,HMGN1
CDC42EP4,ZNF711
RAPGEF1,CLCNKA
BID,OAZ1
CASQ1,PELI1
TANC1,TLK2
RHOB,TGFB1
UBC,DSG3
PPP1R15B,RPL28
ADARB1,SPANXN3
SMAD7,KIR2DL4
