PromEnh,PromOnly
SOX9,SEC61G
DAB2IP,MARCH9
HDAC4,USP9Y
GLI2,METTL1
PODXL,CDK4
ZMIZ1,METTL21B
EDAR,AGAP2
CCDC182,TBL1Y
DIP2C,ARHGEF25
SORL1,RPS4Y
BRD3,SAS
AFAP1,LCE1D
AGAP1,TMSB4Y
QKI,SAA2-SAA4
PPIF,ZFY
TNS3,VOPP1
NCAM1,UTY
APBA2,STON2
XYLT1,CARD17
SREBF1,SRY
NCOR2,SOX10
SH3BP4,SERPINA1
RXRA,DDX3Y
HIVEP3,PHACTR3
CALM1,KDM5D
MSI2,RGS6
ZFHX3,CYP27B1
ZSWIM6,GPD1
ETV6,DTX3
DSCAML1,EIF1AY
GINS2,TSFM
UGGT1,RPS4Y2
ZCCHC24,B4GALNT1
PSAPL1,RTP5
GADD45G,NLGN4Y
GRAMD4,DEFB131
TRIL,RDH12
FOXN3,CTDSP2
SCD5,SERPINB4
TRIB1,KIF5A
SCARB1,IL16
MGAT5,LPAR6
PREX1,ZAN
RERE,EGFR
GUCA2B,MAPT
MYC,PTH
ASAP1,LIMS2
PXDN,OS9
LMX1B,MBD6
ZNF608,PRKG2
POLG,CFHR3
GSE1,UGT2B4
FANCI,DDIT3
ZDHHC22,GPR132
LRRC4,KRT17
ANGPTL2,LTB4R
DLG5,NLRP7
MYO18A,SUSD6
FAM20C,PSG8
NAV2,DICER1
TTC7B,SIGLEC5
JAZF1,PRPF39
EGFR,XRCC6BP1
COBL,SAMSN1
AGO2,STIP1
CLVS1,ARHGEF19
TSPAN5,DCTN2
CHMP6,CA6
IRS2,CCR1
UST,NLRP1
RNF207,CT45A1
MVB12B,UGT1A8
LEP,TP73
TMEM163,EVI5L
RPS24,BATF
SULF2,GLI1
CDC16,GIMAP5
MKLN1,HAL
NTM,PARVG
GALNT2,RNASE2
PPM1H,WWP2
CRB2,MUC7
RALGAPA2,FAM90A1
STK35,NEU4
ZNF536,HPD
COL5A1,MAGEE1
MPRIP,BTNL3
CDC42EP4,TRIM49D2
RYBP,AQP12A
APCDD1,CCDC179
C1orf95,KLRC2
KLHL29,ESR2
ZFP36L1,GOLGA5
HES1,CSN1S1
PUM1,RNF166
SPECC1,IL1B
PRKCA,SLPI
CASZ1,RBM47
EGLN3,COL20A1
SPSB1,STMN4
ZFP36L2,FAM222A
MPZL3,CROCC
LINGO1,CSPG5
PBX1,MYT1
PSMB7,HNRNPCL2
FMNL2,ADAM20
