name,source
ARID3A,marker genes
BMP4,marker genes
CD9,marker genes
CDH1,marker genes
CDX1,marker genes
CDX2,marker genes
CGA,marker genes
CGB,marker genes
ELF5,marker genes
EOMES,marker genes
ESRRB,marker genes
ETS2,marker genes
FGF4,marker genes
FGFR2,marker genes
FURIN,marker genes
GATA2,marker genes
GATA3,marker genes
GCM1,marker genes
HAND1,marker genes
ID2,marker genes
IGFBP3,marker genes
KRT7,marker genes
MMP9,marker genes
MSX2,marker genes
SMARCA4,marker genes
SOX2,marker genes
TEAD4,marker genes
TFAP2C,marker genes
TFAP2C,marker genes
