PromEnh,PromOnly
ZNF608,WDR49
SOX4,VTCN1
ZMIZ1,POPDC2
DAB2IP,TMEM204
ZFHX3,TGM1
BNC2,CD59
TLN2,PTH1R
GLI2,RRAS2
SOX9,S100P
TNS3,PEAR1
JARID2,SPON2
EXT1,TGM2
PODXL,ACTBL2
COPEB,TEX2
HES1,SH3TC1
ZFP36L1,RHOBTB2
FOXN3,HIST2H3A
COBL,SYT8
PPM1H,PSCA
MYC,NLRP3
COL5A1,MYOZ1
XYLT1,LY6K
RYBP,MTTP
PITPNB,ZFAND6
CDH11,ETV1
GLI3,HIST2H4B
UBE2U,ANGPTL1
RERE,CRISPLD2
GADD45G,GGT5
CADM1,PIPOX
PTPRG,C1orf105
FAM84B,CAPS
SMAD7,IQCA1
EFCAB1,GABRP
SIPA1L2,WISP1
TRIB1,SLC7A4
KLHL29,ENKUR
MGAT5,USP44
PHLPP1,FGD3
TLE1,WIPF1
PRPF18,TDGF1
ANKRD33B,S100A2
AGAP1,F8A3
ETV6,CSF1R
TEAD1,S100A3
ATP6V1C1,ENG
MSX2,P2RY6
MBL2,SERPINB7
BCOR,CDH9
ARHGAP28,F11
USP25,FBXO40
BRD3,MYLK3
ASAP1,CARD9
EGLN3,RNF223
MAFB,SLC9A3R2
ST3GAL1,SOX5
SEMA6A,HSPB7
SH3BP4,SYNPO2
SORL1,ZNF320
MSI2,ANKRD28
PBX1,TMEM40
ID2,DCLK1
ROR1,PEMT
NAV2,NNMT
KIF26B,VGLL4
SOX11,ANKRD2
CRB2,MAGEA2
EDN2,ZAP70
TTC7B,HTR1D
ERICH1,MICALCL
AATF,CLDN14
ABCA4,SYNE3
TIMP3,GALNT8
EFNB2,ACSBG1
TP53BP2,FAM156A
PRKCH,ANKRD6
PXDN,TM4SF18
TCERG1L,PRR23D2
PLXNA2,ZG16
EFNA5,MXRA8
COG6,ATF7IP
PINX1,SMIM6
RPS24,H19
RXRA,LRRTM4
SHB,FOXN3
ARHGAP42,CLEC2B
DAP,HK1
SNAI1,TRAF3IP3
DIP2C,CTAG1A
LARGE,ZNF668
AFAP1,TNFAIP6
TBX3,ARHGAP1
UGGT1,SS18L1
CCDC182,CXCR6
ATP11A,SSX4B
SVIL,SYNE2
HDAC4,RAD54B
LYPD6B,CCNI2
LYZL1,GDF3
LCLAT1,MYL7
BCL2L11,GNA12
KALRN,GLDN
RAB11FIP4,RABGAP1L
ZDHHC22,F8A2
NMUR1,SH2D4B
GMPR,NPPB
POLR3A,FSBP
MKLN1,KIAA0319L
PARD3,JPH2
PPARGC1A,RUNX1T1
JAZF1,MTCL1
DGKI,ITGAE
SYN3,SLC16A3
WBSCR17,MEDAG
IGFBP3,CCDC172
HS3ST3A1,ALDH3B2
MACROD2,GLTSCR1L
ADGRL2,HES3
UST,GPRC5A
ARGLU1,SYNPO
ZFP36L2,XIRP1
FHOD3,ODF3B
ARID1B,RIN2
C2orf57,SLC15A2
ZNF423,SLC4A7
CALM1,ACTC
MTMR12,AIM1L
COPS8,RHBG
C10orf11,GPRC6A
ATP10A,SLCO2B1
SGK223,FAM160A1
MTCL1,MFAP5
SMAD6,KIFC3
TRIL,STEAP2
MYO10,CTNND2
CLYBL,CAPN2
MEF2C,APELA
FAT3,TJAP1
ISL1,CHN1
LMX1B,LITAF
DLG5,PDZK1
OPCML,TBC1D3K
GSDMC,RHOH
TBL1XR1,HESX1
FOXC1,MYH2
BNIP3,FAM65B
PPIF,MYL4
CMIP,PDLIM2
TPM1,RGPD6
NBPF1,PAEP
PPP1R3G,MTR
EDN1,SLC10A2
KSR1,PPP1R12A
DCLK1,ADGRG1
SPSB1,DPPA2
IRF2BP2,VIT
NCOR2,H2AFB2
ICE1,TNF
ZCCHC2,DLGAP1
EPAS1,HMHA1
HAAO,ANKS1B
LHFPL2,DDTL
WDR11,CSGALNACT1
GATA3,TMCC3
PRICKLE2,POU2F1
PSMB7,KCNRG
RASAL2,HIC2
GABRB3,OR2A42
GRAMD4,CFC1B
ZNF706,CSF2RB
EPHA4,CST6
ARHGAP8,AQP1
TMEM161B,FGD4
PLCXD1,CSRNP3
TOMM20,PDE4B
LDB2,NEK6
CBR4,MAT2B
CLDN23,OTX2
SMYD2,SPAG9
TANC1,H2AFB3
PLCG2,RIMBP3B
MAGI1,PDGFB
TSPAN9,ATP1A2
KLHDC7A,SYT15
TFB1M,LPAR4
P2RY6,CTAG1B
DHX15,ANK2
PTCD2,PPP1R9A
RAP1GAP2,DDT
PGPEP1L,HIST2H4A
MRPS27,GLI2
FAM65B,SMIM5
DIO3,GDNF
CPN2,FUT1
LZTS1,R3HDM1
MED13L,SSH1
SH3TC1,GJA5
ARNTL,GPM6B
ACTBL2,BAAT
GNG12,PARVG
COL18A1,IKBKG
FUT8,SEC22C
PTPN14,CLLU1
ZIC2,VCY1B
STT3B,RFTN2
TXNDC2,TRIM2
GSE1,ZSCAN25
BCAS1,BNC1
PLPP3,NPIPA8
MN1,BBX
LIN7C,SLC19A1
MVB12B,DYRK1A
MICALCL,TNFSF8
WDR5,ODF3L1
PITRM1,MTUS1
ITGB6,SCOC
CTIF,TCF12
PCDH18,BMP5
MAP3K7,MTMR11
ADAMTS2,BTBD17
DOK4,PGC
SNAI2,BIRC7
PARVA,GNB1L
ERCC6L2,KDM6B
CNEP1R1,ATP11C
ACKR3,MSLN
SLC10A2,NHSL1
KLF13,IGF2BP2
PRKAA2,RP1L1
SIX3,FGF21
PFKP,TMEM217
WWOX,C5orf46
EBLN2,SERPINI2
MSC,TRIM55
FAM49B,SULT1E1
POFUT2,HOXB6
TRPM1,BDKRB1
ALPK2,ADAMTSL4
PUM1,RGS3
RP1L1,MAGEA9
FAM60A,EPHA6
MYLK3,SLC16A9
UTRN,MGAT4C
GABRP,HSD17B1
LCN7,SEMA4A
PELI2,RASGRP1
ADAMTS9,CSRP1
NTPCR,NBPF4
SYNM,DOK4
UMPS,MICAL2
TCF7L2,ZNF536
TINAGL1,AASS
KANK1,BCAR1
LRRC15,EYS
MKRN1,KRT23
CDC42EP4,GJA1
HIF1A,HIST2H3C
CACNG4,FAM177B
SYT15,SLAMF8
UNC5B,DEFB114
JAG1,SIAT4C
CRIM1,TRPM8
IQCA1,LCN7
GPR20,LRRN4
ATF7IP,GNLY
ZCCHC24,SORBS2
TCF12,DENND2D
GALNT10,FBXW7
FOXO1,TRIM6
SPECC1,SYNPR
SP8,KRT8
