file,group,dataset
S0159LH1.ERX1007461.H3K4me1.bwa.GRCh38.20151029.bw,2,4
S0159LH1.ERX1007462.H3K9me3.bwa.GRCh38.20151029.bw,2,6
S0159LH1.ERX1007481.H3K27ac.bwa.GRCh38.20151029.bw,2,1
S0159LH1.ERX1007482.H3K36me3.bwa.GRCh38.20151029.bw,2,3
S0159LH1.ERX1007483.H3K27me3.bwa.GRCh38.20151029.bw,2,2
S0159LH1.ERX1122444.H3K4me3.bwa.GRCh38.20151029.bw,2,5
S0159LH1.ERX1122482.Input.bwa.GRCh38.20151207.bw,2,8
S00X9SH1.ERX712739.H3K27me3.bwa.GRCh38.20150529.bw,2,2
S00X9SH1.ERX712740.H3K36me3.bwa.GRCh38.20150529.bw,2,3
S00X9SH1.ERX712741.H3K4me1.bwa.GRCh38.20150529.bw,2,4
S00X9SH1.ERX712754.Input.bwa.GRCh38.20150528.bw,2,8
S00X9SH1.ERX712777.H3K4me3.bwa.GRCh38.20150529.bw,2,5
S00X9SH1.ERX712778.H3K27ac.bwa.GRCh38.20150529.bw,2,1
S00X9SH1.ERX712779.H3K9me3.bwa.GRCh38.20150529.bw,2,6
S00XAQH1.ERX1295588.H3K4me1.bwa.GRCh38.20160126.bw,2,4
S00XAQH1.ERX712759.H3K4me3.bwa.GRCh38.20150528.bw,2,5
S00XAQH1.ERX712760.H3K27ac.bwa.GRCh38.20150529.bw,2,1
S00XAQH1.ERX712761.H3K36me3.bwa.GRCh38.20150529.bw,2,3
S00XAQH1.ERX712762.H3K9me3.bwa.GRCh38.20150529.bw,2,6
S00XAQH1.ERX712763.H3K27me3.bwa.GRCh38.20150529.bw,2,2
S00XAQH1.ERX941049.Input.bwa.GRCh38.20150529.bw,2,8
S00W1BH1.ERX712695.H3K27ac.bwa.GRCh38.20150528.bw,2,1
S00W1BH1.ERX712696.H3K36me3.bwa.GRCh38.20150529.bw,2,3
S00W1BH1.ERX712697.H3K4me1.bwa.GRCh38.20150528.bw,2,4
S00W1BH1.ERX712698.H3K9me3.bwa.GRCh38.20150529.bw,2,6
S00W1BH1.ERX712717.H3K4me3.bwa.GRCh38.20150529.bw,2,5
S00W1BH1.ERX712775.H3K27me3.bwa.GRCh38.20150529.bw,2,2
S00W1BH1.ERX943224.Input.bwa.GRCh38.20150529.bw,2,8
S00AYXH1.ERX591526.Input.bwa.GRCh38.20150528.bw,1,8
S00AYXH1.ERX604488.H3K27me3.bwa.GRCh38.20150528.bw,1,2
S00AYXH1.ERX712669.H3K4me1.bwa.GRCh38.20150528.bw,1,4
S00AYXH1.ERX712685.H3K27ac.bwa.GRCh38.20150528.bw,1,1
S00AYXH1.ERX941030.H3K4me3.bwa.GRCh38.20150529.bw,1,5
S00AYXH1.ERX941031.H3K9me3.bwa.GRCh38.20150529.bw,1,6
S00AYXH1.ERX941064.H3K36me3.bwa.GRCh38.20150529.bw,1,3
S00AYXU1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw,1,7
S01FG4A1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw,1,7
S01FG4H1.ERX1122569.H3K4me1.bwa.GRCh38.20151029.bw,1,4
S01FG4H1.ERX1122570.H3K36me3.bwa.GRCh38.20151029.bw,1,3
S01FG4H1.ERX1122612.H3K4me3.bwa.GRCh38.20151029.bw,1,5
S01FG4H1.ERX1122613.H3K27ac.bwa.GRCh38.20151029.bw,1,1
S01FG4H1.ERX1122614.H3K9me3.bwa.GRCh38.20151029.bw,1,6
S01FG4H1.ERX1122615.Input.bwa.GRCh38.20151029.bw,1,8
S01FG4H1.ERX1295683.H3K27me3.bwa.GRCh38.20160126.bw,1,2
S00B2JA1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw,1,7
S00B2JH1.ERX1104286.H3K4me3.bwa.GRCh38.20151029.bw,1,5
S00B2JH1.ERX1104289.H3K36me3.bwa.GRCh38.20151029.bw,1,3
S00B2JH1.ERX1104290.H3K9me3.bwa.GRCh38.20151029.bw,1,6
S00B2JH1.ERX616983.Input.bwa.GRCh38.20150528.bw,1,8
S00B2JH1.ERX616984.H3K4me1.bwa.GRCh38.20150528.bw,1,4
S00B2JH1.ERX616985.H3K27me3.bwa.GRCh38.20150528.bw,1,2
S00B2JH1.ERX712684.H3K27ac.bwa.GRCh38.20150529.bw,1,1
S00GPRA1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw,1,7
S00GPRH1.ERX712656.H3K36me3.bwa.GRCh38.20150529.bw,1,3
S00GPRH1.ERX712657.H3K4me3.bwa.GRCh38.20150529.bw,1,5
S00GPRH1.ERX712658.H3K9me3.bwa.GRCh38.20150529.bw,1,6
S00GPRH1.ERX712659.H3K27me3.bwa.GRCh38.20150529.bw,1,2
S00GPRH1.ERX712689.H3K27ac.bwa.GRCh38.20150528.bw,1,1
S00GPRH1.ERX712753.Input.bwa.GRCh38.20150528.bw,1,8
S00GPRH1.ERX940665.H3K4me1.bwa.GRCh38.20150529.bw,1,4
S00AXZH1.ERX1104283.H3K4me3.bwa.GRCh38.20151029.bw,1,5
S00AXZH1.ERX1104284.Input.bwa.GRCh38.20151029.bw,1,8
S00AXZH1.ERX1104285.H3K36me3.bwa.GRCh38.20151029.bw,1,3
S00AXZH1.ERX1104288.H3K27ac.bwa.GRCh38.20151029.bw,1,1
S00AXZH1.ERX604487.H3K27me3.bwa.GRCh38.20150528.bw,1,2
S00AXZH1.ERX712710.H3K9me3.bwa.GRCh38.20150528.bw,1,6
S00AXZH1.ERX712752.H3K4me1.bwa.GRCh38.20150528.bw,1,4
