PromEnh,PromOnly
UST,ST6GALNAC3
EBF1,CRY1
ATXN1,DYX1C1
COPEB,GUCY1B3
ZNF608,SOX4
UBE2U,MYADM
ANKRD33B,CYP46A1
RYBP,PLSCR2
GMPR,CEP126
CD40LG,HTR3A
PRPF18,ZNF471
ICOS,HES1
SORL1,FMOD
ETV6,CORO2B
MKLN1,CTLA4
SGK223,EBF1
PLXNC1,RASL11B
IGLL5,EPB41L2
MED13L,PKP4
TLE1,AASS
ID2,DENND3
XYLT1,PDCD1
TMEM18,TSPAN13
CBLB,JAM3
ZNF516,CLEC2B
FOXN3,KRTAP4-11
GRAMD4,NMNAT3
LGMN,CHDH
LYZL2,DCBLD2
HES1,TNFRSF1A
LPP,LCA5
ATP6V1C1,ANKRD31
TRIB1,MNS1
VAV3,CDK6
PSD3,DKK1
ROR1,ARRDC4
GPR20,CEP112
HDAC4,PIK3R5
DAB2IP,PPFIBP1
RBM20,RBMS3
LPIN1,ASPH
ADARB2,ATXN1
SOX4,UACA
HIVEP2,MYO1B
ZNF311,GCNT1
FAM105A,PRELID2
SPRY2,OR2L13
EDAR,PSD3
DENND3,CCDC148
TRIB2,SPSB1
PDGFD,SPATS2L
LRRC16A,SNCA
CD83,C1QTNF7
KLF4,ARHGAP44
TOX,THRB
STT3B,WBSCR27
MYC,CCSER1
TNFAIP3,TRIQK
GAB2,PRELP
SNX9,PDE4D
ACSL1,SH2D4B
CLCN4,RAB6C
EPHA4,LRRC3
BCOR,XKRX
PTK2,CKAP4
TESC,AIM2
LARGE,CR1L
LY86,HIST1H2AE
ITM2A,C3orf67
GCNT1,TLE6
ST6GALNAC3,BCOR
NBPF1,UGGT2
ASAP1,SPATA6
FRMD4A,PMEPA1
WAPL,TCF4
SAMSN1,ITM2A
ARHGAP8,MS4A15
BCL2L11,CDH2
CRIM1,TDRD1
MSN,CHORDC1
GSDMC,GPHN
DUSP10,BTBD3
FAM19A5,NTF3
JAZF1,NFIB
C3orf67,IL2RB
CD180,BCL2L2
FOXC1,LCK
TIGIT,BCL2L2-PABPN1
JARID2,KRTAP4-4
PRDM1,PHLDB2
RNF144A,ESRRG
UBC,HCCS
OGFRL1,AREG
RBMS1,LIMS1
IL6,THSD4
SYNJ2,DNAH14
SPRY1,ATP2B4
SIX3,DSEL
DOCK10,HIST1H3D
PIGPC1,CFAP58
BCL7A,FMN1
RUNX1,FAM13A
CCDC182,SPRY1
TFB1M,PLA2G7
PRKCH,STAG2
CTGF,MDFIC
ST18,FHL3
HS3ST3B1,MTUS1
SDK1,MAF
POLR2M,SPG20
TOMM20,DEK
MNS1,LEF1
ARID1B,ADD2
CMTM7,SLC35D2
ATP10A,KCTD3
SETBP1,MYEOV
FAM49A,EPHA4
DPYD,JUP
LMX1B,MLPH
ZFHX3,ALDH1A2
SPSB1,RP5-862P8.2
PSA1,SEMA4A
TRIL,BTBD11
FBXW7,CEACAM1
DLEU7,KRTAP9-3
CKLFSF7,BEST3
PRUNE2,MBNL3
CLNK,PTK2
RFK,PCDHGB7
ARRDC3,MKX
AGO2,GALC
HIF1A,RIMS2
GPR34,HNRNPLL
DTHD1,CALHM2
TM9SF2,TOX2
MGAT5,PRKCG
TBL1XR1,TSPAN9
SCML4,GRAP2
POU3F3,NXT2
PSMB7,LAMP5
PIK3R6,RFX2
LDLRAD4,ACER3
TMEM170B,HS3ST3B1
SYT13,FOXD3
TCF4,GNB4
