name,source
ARID1A,marker genes
ATM,marker genes
BCOR,marker genes
BIRC3,marker genes
BRAF,marker genes
CHD2,marker genes
CXCR4,marker genes
DDX3X,marker genes
EGR2,marker genes
FBXW7,marker genes
IRF4,marker genes
MYD88,marker genes
NOTCH1,marker genes
PAX5,marker genes
SAMHD1,marker genes
SF3B1,marker genes
SYK,marker genes
TP53,marker genes
XPO1,marker genes
ZAP70,marker genes
ATM,chronic lymphocytic leukemia (MalaCards)
CCND1,chronic lymphocytic leukemia (MalaCards)
CD38,chronic lymphocytic leukemia (MalaCards)
CD5,chronic lymphocytic leukemia (MalaCards)
TP53,chronic lymphocytic leukemia (MalaCards)
ZAP70,chronic lymphocytic leukemia (MalaCards)
ATM,richter's syndrome (MalaCards)
CD38,richter's syndrome (MalaCards)
CD5,richter's syndrome (MalaCards)
TP53,richter's syndrome (MalaCards)
CD38,acute myeloid leukemia (MalaCards)
CD5,acute myeloid leukemia (MalaCards)
HRAS,acute myeloid leukemia (MalaCards)
TP53,acute myeloid leukemia (MalaCards)
BCL11A,CLL (COSMIC)
BCL2,CLL (COSMIC)
BCL3,CLL (COSMIC)
BCL6,CLL (COSMIC)
BIRC3,CLL (COSMIC)
BTG1,CLL (COSMIC)
BTK,CLL (COSMIC)
CCND1,CLL (COSMIC)
CCND2,CLL (COSMIC)
CHD2,CLL (COSMIC)
CHST11,CLL (COSMIC)
DDX3X,CLL (COSMIC)
FAT1,CLL (COSMIC)
FSTL3,CLL (COSMIC)
IGH,CLL (COSMIC)
LRP1B,CLL (COSMIC)
MAPK1,CLL (COSMIC)
MYC,CLL (COSMIC)
NFKBIE,CLL (COSMIC)
POT1,CLL (COSMIC)
SRSF2,CLL (COSMIC)
TCL1A,CLL (COSMIC)
U2AF1,CLL (COSMIC)
XPO1,CLL (COSMIC)
ZRSR2,CLL (COSMIC)
